№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
27|Таким опознавательным знаком обозначаются автомобили, которые:|Перевозят опасные грузы.|Управляются инвалидами.|Управляются глухонемыми или глухими водителями.|Управляются водителями, имеющими водительский стаж до 3-х лет.||3
28|Какой из знаков обозначает конец зоны ограничения максимальной скорости 50 км/ч?|1|2|3|4|5|2
29|О чем предупреждают этот знак и табличка?|Остановка на обочине запрещена в связи с проведениемремонтных работ.|Съезд на обочину опасен  в связи с проведениемремонтных работ.|Стоянка на обочине запрещена  в связи с проведениемремонтных работ.|||2
30|Таким опознавательным знаком обозначаются транспортные средства, которые:|Управляются инвалидом.|Перевозят тяжеловесные и крупногабаритные грузы.|Перевозят опасные грузы.|Управляются глухонемыми или глухими водителями.||3
31|Какой из указанных знаков отменяет все ранее введенные ограничения?|1|2|3|4|5|4
32|В каком случае водитель правильно выполнил требования этого знака?|Уступил дорогу механическим транспортным средствам, движущимся по пересекаемой дороге.|Уступил дорогу  транспортным средствам, движущимся по пересекаемой дороге.||||2
33|Какой из указанных знаков применяется для обозначения автопоезда?|Левый знак.|Правый знак.|Оба знака.|||2
34|Какой знак обязывает уступить дорогу транспортным средствам, движущимся по пересекаемой дороге?|1|2|3|4|5|4
35|Какой из следующих знаков (табличек) указывает способ постановки транспортного средства на стоянку?|1|2|3|4|5|3
36|Разрешается ли останавливаться на полосе, обозначенной этим знаком для посадки пассажиров?|Разрешается, если эта полоса расположена у правого края проезжей части, и не отделена от остальной проезжей части сплошной линией разметки.|Запрещается.|Разрешается.|||1
37|При наличии этого дорожного знака:|Запрещается обгон всеми видами транспортных средств, за исключением тихоходных транспортных средств, гужевых повозок, мотоциклов без бокового прицепа, мопедов и велосипедов.|Разрешается обгон грузовыми автомобилями с разрешенной максимальной массой не более 3.5 т.|Обгон разрешен, если скорость обгоняемого транспортного средства не превышает 30 км/ч.|||1
38|Какой из знаков называется "Пересечение с велосипедной дорожкой"?|1|2|3|4|5|2
39|Какой из знаков указывает направление движения на Т-образном перекрестке?|1|2|3|4|5|2
40|Этот дорожный знак обозначает:|Дорога, не имеющая сквозного проезда.|Направление движения к объекту в населенном пункте.|Конец дополнительной полосы на подъеме или полосе разгона.|||1
41|Действие какого знака не распространяется на транспортные средства общего пользования?|1|2|3|4|5|4
42|Каким транспортным средствам разрешено движение по дороге, которая находится под влиянием этого знака?|Механическим транспортным средствам..|Всем транспортным средствам.|Автомобилям и мотоциклам.|Тем транспортным средствам, максимальная скорость которых превышает 40 км/ч.||3
43|Какой из этих дорожных занков не является запрещающим?|1|2|3|4|5|2
44|Что обозначает этот опознавательный знак?|Впереди участок дороги, имеющий неровность на проезжей части.|Впереди участок дороги с тремя полосами для движения в данном направлении.|На механическом транспортном средстве установлены шины с шипами.|||3
45|Какой из знаков называется "Конец дороги с односторонним движением"?|1|2|3|4|5|4
46|Какой из знаков обязывает уступить дорогу транспортным средствам, движущимся по пересекаемой дороге?|1|2|3|4|5|2
47|Следующие знаки обозначают:|Место стоянки через 30 м для автомобилей с опознавательным знаком "Инвалид".|Место стоянки в зоне 30 м для транспортных средств, за исключением мотоколясок.|Место стоянки в зоне 30 м для мотоколясок и автомобилей с опознавательным знаком "Инвалид".|||3
48|Какой из этих знаков является опознавательным знаком транспортных средств?|1|2|3|4|5|3
49|Движение какого транспортного средства запрещает этот дорожный знак?|Механических транспортных средств.|Только автомобилей.|Только легковых автомобилей.|||1
50|Какой из знаков указывает объезд препятствия справа или слева?|1|2|3|4|5|5
51|Какой из знаков устанавливается в передней или задней частях транспортных средств, перевозящих организованные группы детей?|1|2|3|4|5|1
52|Что показывают данные дорожные знаки?|Главная дорога продолжается от перекрестка налево.|Главная дорога продолжается прямо через перекресток и налево.||||1
53|Что показывают данные дорожные знаки?|В зоне действия таблички водители должны передвигаться с большей скоростью, чем указано на знаке.|В зоне действия таблички водителям рекомендуется передвигаться с указанной на знаке скоростью.||||2
54|Какие знаки распространяют свое действие только на период времени, в течение которого покрытие проезжей части влажное?|Только А и С.|Только В.|Только С.|Все.||3
55|Как должен поступить водитель в данной ситуации?|Продолжить движение прямо.|Перестроиться на полосу встречного движения.||||2
56|Что показывают данные дорожные знаки?|Через 150-300 метров после знака начинается сужение дороги с правой стороны протяженностью 100 м.|Через 100 метров после знака начинается сужение дороги с правой стороны.||||1
57|В каком направлении водителю разрешено движение?|Только направо и налево.|Только прямо.|Прямо и в обратном направлении.|||3
58|Что показывают данные дорожные знаки?|Остановка запрещена по субботам.|Остановка запрещена по воскресеньям.|Остановка запрещена по субботам-воскресеньям и по праздничным дням.|Остановка запрещена во время снегопада.||3
59|Какой из дорожных знаков запрещает разворот?|1|2|3|||3
60|Что показывают данные дорожные знаки?|Съезжать на обочину опасно в связи с ремонтными работами.|На дороге ведутся ремонтные работы.||||1
61|Как должен поступить водитель в том случае, когда перед перекрестком установлен следующий дорожный знак?|Проехать перекресток, соблюдая правила безопасности.|Уступил дорогу  транспортным средствам, движущимся по пересекаемой дороге.|Остановиться перед знаком и уступил дорогу транспортным средствам, движущимся по пересекаемой дороге.|||3
62|Действие каких дорожных знаков не распространяется на транспортные средства общего пользования?|Ни одного из знаков.|Только первого.|Только четвертого.|||3
63|Следующий дорожный знак показывает:|На перекрестке следует двигаться налево или направо.|На пересекаемой дороге организовано реверсивное движение.|На пересекаемой дороге организовано одностороннее движение.|||2
64|Обязан ли водитель в данной ситуации уступить дорогу грузовому автомобилю?|Обязан.|Не обязан.||||1
65|Что показывают данные дорожные знаки?|При гололедице следует передвигаться со скоростью 40 км/ч.|При мокром покрытии дороги следует передвигаться со скоростью не более 40 км/ч.||||2
66|Что показывают данные дорожные знаки?|Остановка запрещена по субботам.|Остановка запрещена по воскресеньям.|Остановка запрещена в рабочие дни.|||3
67|Что показывают данные дорожные знаки?|На данном участке дороги разрешается передвигаться со скоростью не более 50 км/ч.|На данном участке дороги рекомендуется передвигаться со скоростью 50 км/ч.|Движение разрешено только с указанной на  знаке скорости или более.|||2
68|Какой дорожный знак принуждает водителя ехать только налево или направо.|1|2|3|||3
69|Что показывают следующие дорожные знаки?|При мокром покрытии дороги рекомендуется передвигаться со скоростью 40 км/ч.|При мокром покрытии дороги разрешается передвигаться со скоростью не более 40 км/ч.||||1
70|Действие данных дорожных знаков распространяется:|На левую сторону дороги.|На правую сторону дороги.|На ту сторону дороги, где они установлены.|||3
71|В данной ситуации по какой траектории разрешается объезд препятствий?|Только "а".|Только "b".|"а" и "b".|||3
72|Как должен поступить водитель в данной ситуации?|Необходимо остановиться около первого знака.|Необходимо остановиться перед вторым знаком.|Необходимо остановиться на расстоянии не менее 5 метров от первой железнодорожной линии.|||2
73|Как должен поступить водитель, если намерен совершить правый поворот на перекрестке?|Может перестроиться на правую полосу движения и после этого совершить правый поворот.|Может приблизиться к перекрестку, затем совершить правый поворот.|Оба ответа верны.|||3
74|В данной ситуации имеет ли водитель право на разворот на расстоянии 200 м от знака?|Имеет право.|Не имеет право.||||1
75|В данной ситуации обязан ли водитель остановиться на указанном регулировщиком месте?|Не обязан, поскольку знак запрещает остановку.|Обязан.||||2
76|Как должен поступить водитель в данной ситуации?|Проехать железнодорожный переезд, соблюдая меры безопасности.|Проехать железнодорожный переезд, не останавливаясь.|Остановиться перед знаком и, соблюдая меры безопасности, проехать  многорельсовый железнодорожный переезд.|||3
77|Что показывает разметка на проезжей части?|Границы полос, выделенных для попутно двигающихся транспортных средств.|Границу полосы проезжей части с реверсивным движением.||||2
78|В каком направлении разрешается движение легкового автомобиля?|Налево и в обратном направлении.|В любом направлении.|Прямо, налево и в обратном направлении.|||3
79|Как должен поступить водитель в данной ситуации?|В случае необходимости уступить дорогу транспортному средству, двигающемуся по пересекаемой дороге.|Остановиться и  уступить дорогу транспортному средству, двигающемуся по пересекаемой дороге.||||2
80|Какой из нижепредставленных дорожных знаков запрещает въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка, за исключением случаев поворота направо или налево?|1|2|3|4||3
81|На каком наибольшем расстоянии устанавливается дорожный знак «Территория перекрестка», если невозможно установить его на границе перекрестка?|10 метров.|20 метров.|30 метров.|||3
82|О чем предупреждает следующий дорожный знак?|Остановка запрещается.|Запрещается въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться.|Запрещается въезд на территорию перекрестка, если впереди по направлению движения образовалась пробка.|||2
83|Что показывает следующая дорожная разметка?|Место стоянки транспортных средств.|Место пешеходного перехода.|Островок безопасности.|Участок перекрестка, где запрещается въезд, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться.||4
84|Какая из нижепредставленных дорожных разметок указывает участок перекрестка, где запрещается въезд, если впереди по направлению движения образовалась пробка, которая принудит водителя остановиться?|1|2|3|||3
85|Выполнять разворот с указанной полосы:|Разрешается|Запрещается||||2
86|Обязаны ли Вы остановиться перед "Стоп-линией"?|Да|Нет||||2
87|В данной ситуации:|Мы обязаны уступить дорогу водителю грузового автомобиля|Мы можем проехать узкий участок первыми||||2
88|После этого знака для водителя грузового автомобиля с разрешенной максимальной массой не более 3.5 тонн установлена максимальная скорость движения:|60 км/ч|70 км/ч|80 км/ч|||3
89|Стоянка в указанном месте:|Разрешается|Разрешается только в светлое время суток|Запрещается|||1
90|Нарушил ли водитель грузового автомобиля правила стоянки?|Да|Да, если разрешенная максимальная масса превышает 3,5 тонн|Нет|||1
91|В каком направлении движение разрешено?|Только прямо|Прямо и в обратном направлении|Во всех направлениях|||2
92|Что указывает табличка дополнительной информации?|Расстояние от знака до перекрестка, когда прямо перед перекрестком установлен знак "Уступите дорогу"|Расстояние от знака до перекрестка, когда прямо перед перекрестком установлен знак "Движение без остановки запрещено"||||2
93|Остановка в указанном месте:|Разрешается|Запрещается||||1
94|Какой режим скорости установлен на дороге данными знаками?|Минимальная скорость - 50 км/ч|Предлагаемая скорость - 50 км/ч|Минимальная скорость по попутной левой полосе - 50 км/ч|||3
95|Разрешается ли водителю выполнить поворот налево?|Да|Нет||||1
96|Знаки информируют о том, что:|На 150-метровом участке дороги есть опасность появления пешеходов на проезжей части|Через 150 метров будет нерегулируемый пешеходный переход||||2
97|В каком направлении Вы можете продолжить движение на данном перекрестке, если управляете грузовым автомобилем с разрешенной максимальной массой 3.5 тонн?|Только налево|Направо, налево и в обратном направлении|Любом|||3
98|Разрешается ли поворот направо на грунтовую дорогу?|Да|Нет||||1
99|Разрешается ли остановка с целью посадки пассажира в указанном месте?|Да|Нет||||1
100|Данный дорожный знак:|Предупреждает о приближении к узкому участку|Запрещает проезжать по мосту|Принуждает уступить дорогу водителю, движущемуся во встречном направлении, на узком участке|||3
101|Как Вы поступите, если необходимо изменить направление движения на противоположное?|Выполните разворот на данном перекрестке|После прямого проезда перекрестка выполните разворот|Оба варианта допустимы|||2
102|Стоянка в указанном месте:|Разрешается|Запрещается||||2
103|При данной табличке действие использованного с ней знака распространяется:|Только на легковые автомобили|На легковые автомобили, а также на грузовые автомобили с разрешенной максимальной массой 3.5 тонн|На легковые автомобили и мотоциклы|||2
104|Данный дорожный знак обозначает:|Остановка на обочине запрещается|Выезд на обочину опасен, по причине ремонтных работ|Остановка разрешается только на проезжей части|||2
105|С указанной полосы в каких направлениях разрешено движение?|Только налево|Прямо и налево|Прямо, налево и в обратном направлении|||3
106|Данный дорожный знак:|Предлагает движение со скоростью 40 км/ч|Разрешает движение только со скоростью 40 км/ч или более|Запрещает движение со скоростью более 40 км/ч|||3
107|В какой двор разрешается въезжать водителю:|Левый|Правый|Ни в какой двор не разрешается въезжать|В оба двора разрешается||2
108|О чем предупреждает дорожный знак?|О приближении к скользкому участку дороги|О приближении к мокрому и грязному участку дороги|К участку дороги, где возможен  выброс гравия из под колес|||3
109|В каком направлении водителю легкового автомобиля разрешается движение в данной ситуации?|Только прямо|Прямо и направо|Любом|||3
110|Разгружать автомобиль в зоне действия данного дорожного знака:|Разрешается, если это будет длиться до 5 минут|Разрешается, независимо от продолжительности|Запрещается|||2
111|Разрешается ли въезжать в указанный двор?|Да|Нет||||1
112|В данной ситуации выполнять остановку с целью посадки пассажира:|Разрешается после знака|Разрешается до знака|Запрещается в обоих случаях|||3
113|В данном случае по меньшей мере через сколько метров может встретиться равнозначный перекресток?|100 метров|150 метров|50 метров|||3
114|Откуда начинают действовать правила движения в населенном пункте?|Только после знаков начала населенного пункта на белом фоне|Только после знаков, содержащих название населенного пункта, на белом или синем фоне||||1
115|Данный дорожный знак:|Предупреждает о о пересечении с трамвайными линиями|О приближении к пункту трамвайной остановки|Принуждает уступить водителю трамвая|||1
116|Эти знаки обязывают соблюдать дистанцию от движущегося спереди|Менее 70 м на протяжении 900 м|Более 70 м на протяжении 900 м|70 м - после 900 метров|||2
117|С указанной полосы в каком направлении Вы можете продолжить движение?|Только прямо|Налево и прямо|Налево, прямо и в обратном направлении|||2
118|Данные знаки принуждают:|О приближении к трехполосному железнодорожному переезду|Через 150-300 м будет железнодорожный переезд без шлагбаума|Через 50-100 м будет железнодорожный переезд|||2
119|Разрешается ли стоянка в указанном месте?|Да|Разрешается только жителям указанного места|Нет|||1
120|В каком направлении Вы можете продолжить движение на указанном перекрестке, если управляете грузовым автомобилем с разрешенной максимальной массой 3 тонны?|Только прямо|Только прямо и направо|Любом|||3
121|В данной ситуации можно применять звуковой сигнал:|Только с целью  предупреждения об обгоне|Только с целью предотвращения дорожно-транспортного происшествия|В обоих указанных случаях|||2
122|Разрешается ли выполнять обгон в данной ситуации?|Да|Да, если скорость мотоцикла меньше 30 км/ч|Нет|||1
123|Нарушил ли  водитель грузового автомобиля правила стоянки?|Нет|Да, если разрешенная максимальная масса превышает 3,5 тонн|Да|||3
124|В нечетные дни месяца разрешается ли стоянка в указанном месте?|Да|Да, после 19:00|Нет|||2
125|Разрешается ли Вам подъехать к месту работы, расположенному в зоне действия этих знаков?|Разрешается только в рабочие дни|Разрешается только в нерабочие дни|Разрешается в любой день|Запрещается||3
126|Разрешается ли движение легкового автомобиля, буксирующего с прицепом на этом перекрестке в прямом направлении?|Да|Разрешается только жителям данного участка|Нет|||1
127|Этот знак:|Указывает направление движения на перекрестке|Запрещает движение на перекрестке||||1
128|В населенном пункте через какое расстояние начнется скользкий участок дороги?|По меньшей мере через 100 метров|По меньшей мере через 50 метров|Сразу после знака|||2
129|На какие транспортные средства не распространяется действие знака, запрещающего остановку, в данном сучае?|Легковые автомобили такси|Только мотоколяски и автомобили, оборудованные опознавательным знаком "Инвалид"|Все указанные|||2
130|Какой водитель нарушил правила стоянки?|Никто|Водитель грузового автомобиля.|Водители мотоцикла и легкового автомобиля|||1
131|Разворот по указанной траектории:|Разрешается|Запрещается||||2
132|Стоянка после виадука:|Разрешается|Запрещается||||2
133|Эти дорожные знаки информируют:|О строительстве железнодорожного переезда|О приближении к железнодорожному переезду с шлагбаумом|О  железнодорожном переезде без шлагбаума|||2
134|При движении по указанной полосе разрешается движение:|Только налево|Только прямо|Налево и в обратном направлении|||3
135|Этот знак информирует о приближении к такому тоннелю,|Где отсутствуют разметки|Где отсутвтует искусственное освещение||||2
136|Этот знак заранее информирует:|О необходимости уступить велосипедисту|О пересечении с велосипедной дорожкой|О приближении к велосипедной площадке|||2
137|На водителей каких транспортных средств распространяется действие знаков?|Легковых автомобилей и мотоциклов|Всех|Только легковых автомобилей|||1
138|При каком знаке после остановки нельзя возобновить движение без разрешения?|Только 2|1 и 5|Только 5|Всех||3
