№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
23|Эта горизонтальная дорожная разметка показывает:|Сужение проезжей части, где уменьшается количество полос движения в данном направлении.|Место, где водитель должен остановиться в случае необходимости, чтобы уступить дорогу транспортным средствам, движущимся по пересекаемой дороге.|Приближение к месту, где запрещена остановка.|||2
24|Разрешается ли заезжать на направляющий островок, размеченный широкими белыми линиями?|Разрешается только для остановки.|Разрешается при движении задним ходом.|Запрещается.|||3
25|Как должен поступить водитель, приблизившись к перекрестку, перед которым нанесена "Стоп-линия" и включен зеленый сигнал светофора?|Остановиться у "Стоп-линии" а затем возобновить движение.|Продолжить движение через перекресток без остановки.||||2
26|Что показывает эта разметка?|Пешеходный переход.|Место, где велосипедная дорожка пересекает проезжую часть.|Место перегона скота.|||2
27|Где водитель должен остановить транспортное средство при наличии этой разметки?|У разметки.|На разметке.|На расстоянии не меньше 5 м от разметки.|||1
28|Что показывает эта разметка?|Полосу для движения транспортных средств общего пользования.|Полосу для движения специальных автомобилей.|Показывает границы полос, на которых осуществляется реверсивное регулирование.|||3
29|Разрешается ли в указанном месте произвести разворот?|Разрешается.|Запрещается.||||1
30|Разрешается ли водителю туристического автобуса заезжать на полосу "А" при наличии данной разметки?|Разрешается.|Запрещается.||||1
31|Что показывает разметка в виде широкой прерывистой линии?|Границу между проезжей частью и обочиной.|Границу между полосой разгона и основной полосой проезжей части.|Границу между полосой торможения и основной полосой проезжей части.|||2
32|Какому автомобилю разрешается остановка в зоне действия этих знаков?|Красному.|Обоим автомобилям.|Ни одному.|Желтому, обозначенному опознавательным знаком "Инвалид".||4
33|На каком рисунке водитель правильно выполнил остановку для высадки пассажиров?|На левом рисунке.|На обоих рисунках.|На правом рисунке.|||1
34|Сигналом остановки поезда служит:|Круговые движения руки (днем - с лоскутом яркого цвета или каким-либо хорошо видимым предметом, ночью - с факелом или фонарем).|Поднятая над головой рука с жезлом или красным флагом.|Вытянутая вперед рука.|Покачивание вверх и вниз вытянутой вперед рукой.||1
35|В населенных пунктах, на дорогах с одной полосой движения в каждом направлении, при отсутствии трамвайных путей посередине, остановка и стоянка на левой стороне дороги:|Разрешается.|Запрещается.||||1
36|На каком расстоянии от "Стоп-линии" или знака "Движение без остановки запрещено" должно быть остановлено транспортное средство для пропуска приближающегося поезда?|1,5 м.|2,5 м.|5 м.|10 м.|Непосредственно у "Стоп-линии" и (или) знака.|5
37|Разрешается ли остановка в указанном месте?|Разрешается.|Запрещается.||||2
38|Разрешается ли остановка автомобиля в данном месте?|Запрещается, так как расстояние между прерывистой линией разметки и остановившимся автомобилем менее 3 м.|Запрещается по четным числам месяца.|Разрешается.|||3
39|Водитель какого транспортного средства нарушил правила стоянки?|Водитель синего автомобиля.|Водитель красного автомобиля.|Оба водителя нарушили.|Оба водителя не нарушили.||3
40|Где разрешается длительная стоянка вне населенных пунктов для отдыха, ночлега и в других целях?|На обочинах дороги.|На площадках для стоянки или за пределами дороги.|На правой стороне проезжей части дороги, не препятствуя движению других транспортных средств.|На левой стороне дороги, соблюдая меры безопасности движения.||2
41|Остановка запрещается, если расстояние между сплошной линией разметки и остановившимся транспортным средством составляет:|6 м.|5.5 м.|4 м.|3.5 м.|2.5 м.|5
42|Если движение через железнодорожный переезд запрещено и отсутствуют светофор, дорожные знаки, разметка и шлагбаум, то водитель должен остановиться:|Не ближе 5 м от ближайшего рельса.|Не ближе 7 м от ближайшего рельса.|Не ближе 10 м от ближайшего рельса.|||3
43|На каком расстоянии от железнодорожного переезда запрещается стоянка транспортных средств?|15 м.|50 м.|100 м.|150 м.||1
44|В каком ответе правильно перечислены водители, нарушившие, правила остановки?|Водители красного автомобиля и мотоцикла.|Водитель синего автомобиля.|Водитель мотоцикла.|Водители всех транспортных средств.||4
45|Водители каких транспортных средств выполнили неправильную остановку для высадки пассажиров?|Водитель легкового автомобиля.|Водитель мотоцикла.|Водитель автобуса.|Водители мотоцикла и автобуса.|Все водители.|4
46|Если движение через железнодорожный переезд запрещено и отсутствуют светофор, дорожные знаки, разметка и шлагбаум, то водитель должен остановиться:|Не ближе 5 м от шлагбаума.|Не ближе 3 м от шлагбаума.|Непосредственно перед шлагбаумом.|||1
47|Разрешается ли туристическому автобусу двигаться по полосе "А"?|Запрещается.|Разрешается.||||1
48|Что обозначает буква "А", нанесенная на полосе проезжей части?|Номер дороги (маршрута).|Специальную полосу, предназначенную для движения транспортных средств общего пользования.|Специальную полосу, предназначенную для движения транспортных средств категории "А".|||2
49|Разрешается ли транспортному средству остановиться в указанном месте для высадки пассажиров?|Разрешается.|Запрещается.|Разрешается, но поднявшись на тротуар.|||2
50|Разрешается ли продолжить движение по указанному стрелкой направлению?|Запрещается.|Разрешается во всех случаях.|Разрешается для остановки с целью высадки пассажиров.|Разрешается с целью обгона грузового автомобиля.||3
51|Такой вертикальной разметкой обозначаются:|Нижние края моста, тоннеля.|Въезд в неосвещенные тоннели.|Любой элемент дорожных сооружений, который создает опасность для движения.|||1
52|Как должен поступить водитель легкового автомобиля, если водитель автобуса начал тормозить?|Продолжить движение.|Замедлить движение, а, в случае необходимости, остановиться и продолжить движение, убедившись, что на переходе нет пешеходов.|Остановиться и продолжить движение только в том случае, когда автобус возобновит движение.|||2
53|Водитель автобуса совершил остановку для посадки пассажиров. Легковой автомобиль движется со скоростью 70 км/ч. Водитель какого транспортного средства нарушает требования правил дорожного движения?|Никто.|Водитель автобуса.|Водитель легкового автомобиля.|Оба водителя.||1
54|В каком из перечисленных случаев водитель автобуса может занять среднюю полосу на трехполосной дороге двустороннего движения, которая используется для движения в обоих направлениях:|С целью обгона или объезда.|С целью поворота налево или разворота.|В обоих вышеуказанных случаях.|Нет правильных ответов.||3
55|Где должен остановиться водитель в данной ситуации?|Останавливаться не обязательно.|Перед светофором.|Перед разметкой "Стоп-линия".|Перед пересечением полос движения.||3
56|Автобус остановился, чтобы уступить дорогу пешеходу. Нарушает ли водитель легкового автомобиля требования правил дорожного движения в данной ситуации?|Нарушает.|Не нарушает.||||1
57|Разрешается ли водителю автобуса, совершающего регулярные пассажирские перевозки, остановливаться в указанном месте с целью посадки пассажиров?|Запрещается.|Разрешается.||||1
58|Имеет ли водитель туристического автобуса право на стоянку в указанном месте с целью длительного отдыха?|Не имеет право.|Имеет право.||||1
59|Для продолжения движения налево где должен остановиться водитель автобуса, чтобы уступить дорогу легковому автомобилю?|Перед дорожным знаком.|У разметки.|В безопасном месте, по усмотрению водителя.|||2
60|Где необходимо остановиться в данной ситуации?|Перед первым дорожным знаком.|Перед разметкой "Стоп-линия".|Перед вторым дорожным знаком.|Останавливаться не обязательно.||2
61|Каким транспортным средствам разрешается совершать остановку в зоне действия данного знака?|Только транспортным средствам общего пользования.|Только транспортным средствам, управляемым инвалидами.|Только такси с включенным таксометром.|Всем запрещается.||4
62|В зоне действия указанных дорожных знаков разрешается ли совершать остановку с целью посадки пассажиров?|Разрешается.|Запрещается.||||1
63|Для каких транспортных средств выделена полоса движения, обозначенная буквой "А"?|Только для автобусов, которые передвигаются по установленному маршруту.|Для троллейбусов и такси.|Для транспортных средств общего пользования.|||3
64|Разрешается ли остановка и стоянка автобусов в населенных пунктах на левой стороне проезжей части дороги с односторонним движением?|Разрешается.|Запрещается.|Разрешается только для остановки.|||1
65|Разрешается ли остановка транспортных средств общего пользования вне пунктов остановок?|Запрещается.|Разрешается.||||1
66|Разрешается ли стоянка автобусов в жилых зонах и дворовых территориях?|Запрещается.|Разрешается только в местах, предназначенных для этого.|Запрещается.|||2
67|Разрешается ли остановка в указанном месте?|Да|Нет||||1
68|Разрешается ли стоянка в указанном месте?|Да|Только в светлое время суток|Нет|||3
69|В каком из указанных мест разрешена остановка?|Только А|Только Б|Только Б и В|Ни в одном||2
70|В каком месте разрешена остановка?|Только Б|Только А и Б|Только А и В|Ни в одном||2
71|Разрешается ли остановка в указанном месте?|Да|Запрещается|Только с целью посадки пассажира|||2
72|Разрешается ли остановка с целью посадки пассажира в указанной ситуации?|Да|Нет||||2
73|В каком из указанных случаев разрешена остановка?|Только Б|Только В|А и В|Во всех случаях||1
74|Остановка запрещается:|На железнодорожном переезде|На железнодорожном переезде и на расстоянии 50 м вблизи переезда|На железнодорожном переезде и на расстоянии 50 м до переезда|||1
75|Стоянка запрещается:|На железнодорожном переезде|На железнодорожном переезде и на расстоянии 50 м вблизи переезда|На железнодорожном переезде и на расстоянии 50 м до переезда|||2
76|В каком варианте правильно указан выполняющий остановку?|Только В|Только А и В|Только Б и В|В трех случаях разрешено||1
77|Обязаны ли Вы уступить грузовому автомобилю?|Да|Нет||||2
78|Остановка в указанном месте:|Разрешается|Запрещается||||1
79|Когда разрешается пересечь линию разметку?|До пешеходного перехода|После пешеходного перехода||||2
80|Нарушил ли водитель грузового автомобиля правила остановки?|Да|Нет||||1
81|В данной ситуации разрешается ли остановка с целью посадки пассажира?|Да|Разрешается только водителю транспортного средства общего пользования|Нет|||2
82|Какой из водителей нарушил правила стоянки?|Оба водителя|Только водитель легкового автомобиля|Только водитель мотоцикла|Никто||2
83|В каком варианте изображен водитель, выполнивший стоянку в указанном запрещенном положении?|Только А|Только Б||||1
84|Разрешается ли остановка в указанном месте?|Только с целью посадки пассажира|Запрещается|Разрешается|||3
85|В каком из указанным мест разрешается стоянка?|Только А|Только В|А и В|||3
86|Разрешается ли остановка в указанном месте?|Нет|Да||||1
87|Кто нарушил правила остановки?|Оба водителя|Только водитель грузового автомобиля|Только водитель легкового автомобиля.|Никто||2
88|В каком случае водитель нарушил правила остановки?|Только А|Только Б|Никто|Оба нарушили||3
89|В каком случае водитель нарушил правила стоянки?|Только А|Только Б|Оба нарушили|Никто||3
90|Разрешается ли стоянка в указанном месте?|Запрещается|Разрешается||||1
91|Разрешается ли остановка на мосту с целью посадки пассажира?|Да|Нет||||2
92|Какой водитель нарушил правила остановки?|Водитель автомобиля|Водитель мотоцикла|Оба водителя|Никто||3
93|Какой водитель правильно выполнил остановку?|Только В|Б или В|Все водители|||1
94|Разрешается ли остановка в указанном месте?|Да|Нет||||2
95|Какой водитель нарушил правила стоянки?|Водитель грузового автомобиля|Водитель легкового автомобиля|Никто|Оба водителя||2
96|Рарешается ли водителю грузового автомобиля массой менее 3.5 тонн выполнить стоянку указанным на табличке способом?|Да|Нет||||2
97|Разрешается ли остановка в указанном месте?|Да|Нет||||2
98|В каком из указанных мест разрешена остановка?|Только А|Только Б|Любом|||1
99|Стоянка в указанном месте:|Разрешается|Запрещается||||1
100|Какой водитель нарушил правила стоянки?|Только А|Только Б|Никто|||2
101|Остановка в указанном месте:|Разрешается|Разрешается с целью посадки пассажира|Запрещается|||3
102|Какой водитель нарушил правила остановки?|Только Б|Только Б и В|Все|||2
103|Разрешена ли водителям остановка в указанном месте?|Да|Только водителю мотоцикла|Нет|||3
104|В каком из указанных случаев разрешена остановка?|Только В|Только Б и В|Во всех случаях|||3
105|Разрешается ли остановка расположением автомобиля таким образом?|Да|Только легковому автомобилю|Нет|||3
106|Разрешается ли продолжить движение по этой полосе после обгона грузового автомобиля?|Да|Нет||||2
107|Разрешается ли в данной ситуации продолжить движение по занимаемой полосе?|Да|Нет||||1
108|Остановка в указанном месте:|Разрешается|Разрешается, если расстояние от транспортного средства до разметки составляет более 3 метров|Запрещается|||3
109|Эта разметка показывает:|Преимущество при перестроении|Приближение к криволинейному участку дороги|Последнее приближение к полосе|||3
110|Что показывает эта разметка?|Приближение к "Стоп-линии" на регулируемом перекрестке|Приближение к "Стоп-линии", когда она применилась со знаком "Движение без остановки запрещено"|Приближение к шлагбауму|||2
111|Вертикальная разметка ограждений информирует:|О приближении к железнодорожному переезду|О приближении к опасному перекрестку|О движении по опасному участку дороги|||3
112|Эта треугольная разметка информирует:|О приближении к опасному повороту|О приближении к месту, где необходимо уступить дорогу|О приближении к месту остановки машины|||2
113|Эти прерывистые линии разметки в районе перекрестка показывают:|Допустимые направления движения|Полосы движения в пределах перекрестка||||2
114|Эта разметка обгон|Разрешает|Запрещает|Разрешает только обгон тракторов|||1
115|Этой вертикальной разметкой:|Указываются все вертикальные элементы, смежные проезжей части|Только те элементы дорожных сооружений, которые представляют опасность для водителей||||2
116|При этой разметке разрешается ли въехать на перекресток, если это не будет препятствовать водителю легкового автомобиля?|Да|Нет||||2
117|Водитель, движущийся по какой траектории, не нарушает правила разметки?|Только А|Только Б|Оба нарушают|Оба не нарушают||2
118|В каком случае разрешается пересекать сплошную линию разметки?|Только Б, при остановке|Ни в одном случае|При остановке в обоих случаях|||1
119|Что показывает прерывистая разметка?|Право остановки на обочине|Края проезжей части на двухполосной дороге|Право движения по обочине|||2
120|Движение по этой траектории в данной ситуации:|Разрешается только при обгоне|Разрешается|Запрещается|||3
121|Разрешается ли стоянка в указанном месте?|Разрешается|Разрешается, не поднимаясь на тротуар|Запрещается|||3
122|Обгон при этой разметке:|Разрешается|Разрешается, если движущийся спереди тихоходный|Запрещается|||3
123|Можете ли Вы продолжить движение после знака?|Да|Да, до "Стоп-линии"|Нет|||2
124|Когда оранжевые и белые разметки противоречат друг другу, водители:|Могут выполнить требования удобной для них разметки|Должны выполнить требования белой разметки|Должны выполнить требования оранжевой разметки|||3
125|Какому водителю при остановке разрешено пересечь сплошную линию разметки?|Обоим водителям|Водителю встречного движения|Запрещается обоим водителям|||2
126|Разрешается ли остановка в указанном месте?|Только мотоциклам|Нет|Да|||3
127|Эта разметка:|Показывает границы жилой зоны|Показывает искусственную неровность|Запрещает дальнейшее движение|||2
128|Что запрещает эта разметка?|Обгон|Объезд|Разворот|Движение слева от нее или по ней||4
129|Эта разметка обозначает:|Номер маршрута или дороги|Предлагаемую скорость|Максимально допустимую скорость на указанном участке дороги|||3
130|Запись на проезжей части показывает:|Расстояние до ближайшего перекрестка|Расстояние до ближайшего населенного пункта|Номер маршрута или дороги|||3
131|С какой стороны можно объехать запрет?|Только А|Только Б|Любой|||1
132|Какие транспортные средства могут двигаться по крайней правой полосе этой дороги?|Троллейбусы и автобусы общего пользования|Троллейбусы и автобусы|Только автобусы|||1
133|Разрешается ли стоянка в указанном месте?|Запрещается|Только на тротуаре|Только мотоциклам|Разрешается||1
134|Увеличение прерывистых линий разметки информирует:|О приближении к концу полосы|О приближении к опасному участку|Что эта линия разметки вскоре станет сплошной|||3
135|В указанной ситуации движение прямо:|Запрещается|Разрешается|Разрешается, перестраиваясь на правую полосу|||3
136|Сколько полос движения имеет данная дорога?|Две|Четыре||||2
