№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
39|Что должен предпринять водитель в первую очередь при ослеплении светом фар встречного автомобиля?|Дальний свет фар (если включен) переключить на ближний.|Включить аварийную световую сигнализацию.|Подать звуковой сигнал: один длинный и три коротких.|Подать звуковой сигнал: один короткий и три длинных.||2
40|Звуковые сигналы могут применяться только:|В населенных пунктах, для предупреждения других водителей о намерении выполнить обгон.|Когда это необходимо для предотвращения дорожно-транспортного происшествия.|В обоих случаях.|||2
41|В темное время суток на механическом транспортном средстве, движущемся на неосвещенных участках дороги, должны быть включены:|Ближний или дальний свет фар.|Только ближний свет фар.|Только дальний свет фар.|||1
42|Задние противотуманные фонари могут использоваться:|При движении в колонне в темное время суток.|При движении в тоннелях.|Только в условиях недостаточной видимости.|В темное время суток при разгрузке транспортного средства.|Во всех перечисленных случаях.|3
43|На каком расстоянии до встречного транспортного средства дальний свет фар должен быть переключен на ближний?|Не менее 100 м.|Не менее 150 м.|Не менее 300 м.|||2
44|Фарой-прожектором разрешается пользоваться:|Только вне населенных пунктов при отсутствии встречных и попутных транспортных средств.|Только в условиях недостаточной видимости.|В любых местах, если в этом есть необходимость.|В темное время суток на всех участках дороги.||1
45|На каком расстоянии до начала опасного участка устанавливается этот предупреждающий знак в населенных пунктах?|25 - 50 м.|50 - 100 м.|100 - 150 м.|||2
46|Разрешается ли провозить через железнодорожный переезд сельскохозяйственные, дорожные, строительные и другие машины и механизмы?|Разрешается, если переезд не оборудован шлагбаумом.|Разрешается, если они находятся в нетранспортном положении.|Разрешается, если они находятся в транспортном положении.|||3
47|Где разрешается пересекать железнодорожные линии?|Там, где видимость с обоих сторон составляет не менее 1000 м.|По усмотрению водителя в удобных для этого местах.|В предусмотренных для этого местах.|На расстоянии не менее 1000 м. От железнодорожных вокзалов.||3
48|Разрешается ли при выполнении служебного задания самовольно открывать шлагбаум или объезжать его?|Запрещается.|Разрешается.|Разрешается по усмотрению водителя, если вблизи нет приближающегося поезда.|Разрешается при отсутствии дежурного по переезду.||1
49|Разрешается ли провозить через железнодорожный переезд сельскохозяйственные, дорожные, строительные и другие машины и механизмы?|Разрешается.|Разрешается, если они находятся в транспортном положении.|Запрещается.|||2
50|Чем должен руководствоваться водитель при приближении к железнодорожному переезду?|Положением шлагбаума и сигналами светофора.|Требованиями дорожных знаков и разметок.|Указаниями дежурного по переезду.|Всеми перечисленными требованиями.||4
51|Разрешается ли пешеходам передвигаться по дороге, обозначенной знаком "Автомагистраль"?|Запрещается.|Разрешается, вне населенных пунктов - навстречу движения транспортных средств.|Разрешается, вне населенных пунктов - по ходу движения транспортных средств.|||1
52|Движение транспортных средств, скорость которых по технической характеристике или состоянию не превышает 40 км/ч, на автомагистралях:|Разрешается только по крайней правой полосе.|Запрещается.|Разрешается только при отсутствии знака "Ограничение минимальной скорости".|||2
53|На транспортном средстве аварийная световая сигнализация должна быть включена:|При дорожно-транспортном происшествии.|При вынужденной остановке в местах, где остановка запрещена.|В обоих случаях.|||3
54|На транспортном средстве аварийная световая сигнализация должна быть включена:|При дорожно-транспортном происшествии.|При буксировке (на буксируемом механическом транспортном средстве).|При вынужденной остановке в местах, где остановка запрещена.|Во всех перечисленных случаях.||4
55|На каком расстоянии от транспортного средства устанавливают знак "Аварийная остановка"?|В населенных пунктах - не менее чем за 15 м, вне населенных пунктов - 30 м.|В населенных пунктах - не менее чем за 10 м, вне населенных пунктов - 20 м.|В населенных пунктах - не менее чем за 5 м, вне населенных пунктов - 10 м.|||1
56|На транспортном средстве аварийная световая сигнализация должна быть включена:|При ослеплении водителя светом фар.|При буксировке (на буксируемом механическом транспортном средстве).|В обоих случаях.|||3
57|На транспортном средстве аварийная световая сигнализация должна быть включена:|При дорожно-транспортном происшествии.|При буксировке (на буксируемом механическом транспортном средстве).|В обоих случаях.|||3
58|На застроенных территориях, въезды на которые и выезды с которых обозначены дорожными знаками "Жилая зона" и "Конец жилой зоны", не запрещается:|Перемещение пешеходов по проезжей части дороги.|Сквозное движение транспортных средств.|Учебная езда.|||1
59|Перекресток считается регулируемы, если очередность движения на нем определяется:|Только сигналами светофора.|Только сигналами регулировщика.|В обоих случаях.|||3
60|Если на грунтовой дороге непосредственно перед перекрестком имеется участок с покрытием, то делает ли это ее равной по значению с пересекаемой?|Нет.|Да.||||1
61|На каком рисунке показаны разрешенные направления движения?|На левом рисунке.|На среднем рисунке.|На правом рисунке.|На среднем и правом рисунках.||3
62|Если значения сигналов светофора противоречат требованиям дорожных знаков приоритета, то водители должны руководствоваться:|Требованиями знаков.|Сигналами светофора.||||2
63|Разрешается ли водителю продолжать движение при включении желтого сигнала светофора или поднятии регулировщиком руки вверх?|Запрещается.|Разрешается, если водитель не может остановиться, не прибегая к резкому торможению.||||2
64|Регулировщик подает сигнал свистком:|Только в том случае, когда требует остановить транспортное средство.|Для привлечения к себе внимания участников движения.||||2
65|Разрешается ли в данной ситуации автопоезду проехать по мосту?|Разрешается.|Запрещается.||||2
66|В каком случае правила не обязывают водителя автобуса подать предупредительный знак?|При остановке у края проезжей части.|Перед закруглением участка дороги, обозначенной знаком "Опасный поворот".|Перед перестроением на соседнюю полосу движения.|При движении по установленному маршруту.||2
67|Перед перестроением водитель автобуса должен подать предупредительный сигнал:|Непосредственно перед выполнением маневра.|Сразу после выполнения маневра.|Заранее - до выполнения маневра.|Не обязан, если автобус движется по установленному маршруту.||3
68|Какие повторяющиеся звуковые сигналы общей тревоги обязан подавать водитель автобуса при вынужденной остановке на железнодорожном переезде?|Три длинных и один короткий.|Один длинный и три коротких.|Один длинный и два коротких.|Два длинных и два коротких.||2
69|Имеет ли водитель междугороднего автобуса право выполнять обгон мотоцикла, который движется со скоростью 70 км/ч?|Не имеет право.|Имеет право.||||1
70|Можно ли подавать предупреждающий сигнал рукой для движения по данной траектории?|Можно, если неисправен указатель поворота.|Можно, если неисправен указатель поворота в светлое время суток.|Можно во всех случаях.|||1
71|Обязан ли водитель включить указатель поворота перед началом движения в населенном пункте?|Не обязан.|Обязан.|Обязан при наличии других транспортных средств.|||2
72|Водитель автомобиля патрульной службы для приобретения преимущества перед другими участниками движения должен включить:|Проблесковый маячок синего цвета.|Проблесковые маячки синего и красного цветов.|Проблесковый маячок синего цвета и специальный звуковой сигнал.|||3
73|Обязан ли водитель автобуса уступить дорогу автомобилю "Скорой помощи", если на нем не включен проблесковый маячок синего цвета и специальный звуковой сигнал?|Обязан.|Не обязан.||||2
74|Обгон запрещается:|На железнодорожных переездах и на расстоянии 100 м до него.|На железнодорожных переездах и на расстоянии 150 м до него.|На железнодорожных переездах и на расстоянии 250 м до него.|||1
75|О чем информирует сигнал, поданный рукой водителя легкового автомобиля?|Выполняет поворот направо.|Продолжает движение прямо.|Тормозит.|||3
76|Аварийный световой сигнал включается:|Перед въездом в тоннель.|При дорожно-транспортном происшествии.|При движении в составе организованной колонны.|||2
77|О чем информирует сигнал, поданный рукой водителя мотоцикла?|Продолжает движение налево или в обратном направлении.|Продолжает движение прямо или направо.||||1
78|О чем информирует сигнал, поданный рукой водителя легкового автомобиля?|Выполняет поворот направо.|Продолжает движение прямо.|Тормозит, чтобы уступить дорогу мотоциклу.|||1
79|О чем информирует сигнал, поданный рукой водителя легкового автомобиля?|Намерен выполнить левый поворот или разворот.|Тормозит, чтобы уступить дорогу грузовому автомобилю.||||1
80|Обязан ли водитель включить указатель поворота в данной ситуации?|Обязан.|Не обязан.||||1
81|При организованной перевозке группы детей в светлое время суток на автобусе должны быть включены:|Дальний свет фар.|Ближний свет фар.|Аварийный световой сигнал.|Приборы внутреннего освещения салона.||2
82|Разрешается ли водителю грузового автомобиля обгонять автобус, который двигается со скоростью 60 км/ч?|Запрещается.|Разрешается.||||2
83|Разрешается ли выполнять обгон в данной ситуации?|Запрещается.|Разрешается.|Разрешается, если автобус движется со скоростью менее 30 км/ч.|||1
84|Разрешается ли въезжать на железнодорожный переезд в данной ситуации?|Разрешается.|Запрещается.||||2
85|Разрешается ли въезжать на железнодорожный переезд в данной ситуации?|Разрешается, если не приближается поезд.|Разрешается, если открыт шлагбаум.|Запрещается.|||3
86|Как необходимо действовать в данной ситуации?|При отсутствии поезда объехать шлагбаум и продолжить движение.|Остановиться и дождаться открытия шлагбаума.||||2
87|Разрешается ли проехать железнодорожный переезд в данной ситуации?|Разрешается, если не приближается поезд.|Разрешается.|Запрещается.|||3
88|Разрешается ли проехать железнодорожный переезд в данной ситуации?|Запрещается.|Разрешается, если не приближается поезд.|Разрешается, поскольку дежурный переезда запрещает движение встречного транспортного средства.|||1
89|В данной ситуации где можно начать обгон?|На железнодорожном переезде.|После железнодорожного переезда.|Через 100 м. после железнодорожного переезда.|||2
90|Какой маневр выполняет водитель легкового автомобиля?|Обход|Обгон|Объезд|||2
91|Разрешается ли обгонять мотоцикл?|Разрешается|Запрещается||||2
92|В каком случае разрешается на дорогах с одной полосой в каждом направлении выполнять обгон на полосе встречного движения?|Только в том случае, когда полоса встречного движения свободна на достаточном расстоянии|Только в том случае, когда нас не обгоняют|Необходимо, чтобы были обеспечены оба условия|||3
93|Разрешается ли обгон в указанной ситуации?|Запрещается|Разрешается,если маневр завершиться в пределах видимости|Разрешается|||3
94|Разрешается ли обгон грузового автомобиля?|Да|Да, если обгон завершится до перекрестка|Нет|||2
95|Что требуется от водителя обгоняемого транспортного средства?|Он обязан уступить дорогу выполняющему обгон|Он никоим образом не должен препятствовать обгоняющему, повышая скорость или выполняя другие действия||||2
96|Разрешается ли выполнять обгон в данной ситуации?|Запрещается|Разрешается, если скорость грузового автомобиля менее 30 км/ч|Разрешается|||1
97|Разрешается ли водителю грузового автомобиля обгонять трактор, если разрешенная максимальная масса составляет 3 тонны?|Да|Да, если трактор движется со скоростью менее 30 км/ч|Нет|||1
98|Если встречный разъезд затруднен в данной ситуации, то дорогу должен уступить:|Водитель грузового автомобиля|Водитель легкового автомобиля||||1
99|Обгон на пешеходном переходе:|Запрещается только при наличии пешехода|Запрещается|Разрешается|||2
100|Что показывает данный дорожный знак?|Через 500 метров есть упавшее дерево|Через 500 метров место отдыха|На расстоянии 500 метров место отдыха|||2
101|Водитель в этой ситуации включить световой указатель поворота:|Обязан|Обязан, если есть приближающийся сзади водитель|Не обязан|||3
102|Поднятая вверх рука водителя информирует:|О выполнении поворота налево|О прямом движении|О прекращении движения|||3
103|Подача сигнала преимущество по отношению к другим участникам движения:|Предоставляет|Не предоставляет|Предоставляет, только начиная движения|||2
104|О чем информирует водитель мотоцикла?|О продолжении движения прямо|О выполнении поворота налево|О снижении скорости, чтобы уступить дорогу легковому автомобилю|||3
105|При выполнении поворота налево в данной ситуации подача сигнала:|Обязательна|Не обязательна||||1
106|При выполнении обгона мы обязаны выключить световой указатель поворота:|Непосредственно после перестроения на левую полосу|Только после того, как проедем впереди идущее транспортное средство|На усмотрение водителя|||1
107|При выполнении разворота на этом перекрестке какой указатель поворота мы должны включить?|Правый|Левый|Никакой|||1
108|Обязаны ли Вы в указанной ситуации подать сигнал световым указателем?|Да|Нет|Да, если есть водитель, двигающийся по правой полосе|||1
109|О чем информирует водитель мотоцикла?|О продолжении движения прямо|О выполнении поворота направо|О выполнении поворота налево или разворота|||3
110|Сигнал о маневре, поданный световым указателем, должен быть прекращен:|Непосредственно перед маневром|Непосредственно после маневра|В течение маневра|||2
111|Подача сигнала световым указателем в указанной ситуации:|Обязательна|По усмотрению водителя||||1
112|Какой водитель подает сигнал о повороте направо?|Только находящийся справа|Оба водителя|Только находящийся слева|||2
113|При маневрировании на стоянках или АЗС подавать сигнал световым указателем:|Обязаны|Не обязаны||||1
114|В данной ситуации что может обозначать вытянутая наружу рука водителя?|Информация о начале движения с его стороны|Знак о просьбе остановиться|Сигнал общей тревоги|||1
115|Какие сигналы Вы должны подать при выполнении разворота по указанной траектории?|Правый|Левый|Сначала правый, потом левый|||3
116|Если Вы намерены остановиться непосредственно после перекрестка, когда Вы должны включить световой указатель поворота направо для того, чтобы не ввести в заблуждение участников движения?|Заранее, до перекрестка|После въезда на перекресток||||2
117|Имеет ли преимущество водитель завершающего обгон автомобиля по отношению к водителю, движущемуся по данной полосе, при перестроении на параллельную полосу?|Нет|Да||||1
118|Водителю, выезжающему с окрестной территории, включавшему специальные звуковые и световые сигналы, уступать:|Не обязаны|Обязаны||||2
119|При проезде перекрестка прямо обязаны ли мы уступить дорогу водителю грузового автомобиля с включенными проблесковыми маячками желтого цвета?|Да|Нет||||2
120|При повороте налево дорогу уступим:|Водителю мотоцикла|Водителю автомобиля с включенными специальными световыми и звуковыми сигналами|Обоим водителям|||3
121|Мы обязаны уступить дорогу:|Обоим водителям|Водителю грузового автомобиля с проблесковым маячком желтого цвета|Только водителю автобуса|||3
122|В данной ситуации:|Вы проедете перекресток первыми|Должны уступить дорогу водителю, приближающемуся слева.||||2
123|Мы обязаны уступить:|Всем|Водителю полицейской машины|Никому|||2
124|При выполнении поворота налево:|Вы проедете перекресток первыми|Уступите только водителю полицейской машины|Уступите всем водителям|||3
