№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
13|Разрешается ли перевозка людей в кузове грузового автомобиля при буксировке на жесткой и гибкой сцепке?|Разрешается в кузовах буксирующего и буксируемого автомобилей.|Разрешается только в кузове буксируемого автомобиля.|Разрешается в кузове буксирующего автомобиля.|Запрещается в кузовах обоих автомобилей.||3
14|При буксировке на жесткой и гибкой сцепке в каком из указанных случаев разрешается перевозка людей в буксируемом автомобиле?|Разрешается в автобусе.|Разрешается в легковом автомобиле.|Рарешается в кузове грузового автомобиля при буксировке на жесткой сцепке.|||2
15|С какой максимальной скоростью разрешается движение при буксировке механическими транспортными средствами?|30 км/ч.|40 км/ч.|50 км/ч.|60 км/ч.|70 км/ч.|3
16|Буксировка в гололедицу запрещается:|На гибкой сцепке.|На жесткой сцепке.|Путем частичной погрузки.|||1
17|С какой максимальной скоростью может осуществиться буксировка в данных условиях?|30 км/ч.|50 км/ч.|70 км/ч.|80 км/ч.||2
18|Разрешается ли перевозка людей при буксировке на жесткой и гибкой сцепке в буксируемом механическом транспортном средстве?|Разрешается в автобусе и троллейбусе.|Разрешается только в легковом автомобиле.|Разрешается в кузове грузового автомобиля и в легковом автомобиле.|Разрешается в кабине грузового автомобиля и в легковом автомобиле.|Запрещается.|4
19|Буксировка в условиях гололедицы:|Запрещается.|Разрешается.|Разрешается на жесткой сцепке или путем частичной погрузки.|||3
20|С какой максимальной скоростью разрешается буксировка транспортных средств на гибкой сцепке?|70 км/ч.|60 км/ч.|50 км/ч.|40 км/ч.|30 км/ч.|3
21|В каком случае запрещена буксировка?|В условиях гололедицы на жесткой сцепке.|В условиях гололедицы на гибкой сцепке.|Мотоциклами с боковым прицепом.|||2
22|При буксировке механических транспортных средств вне населенных пунктов скорость движения не должна превышать:|30 км/ч.|40 км/ч.|50 км/ч.|60 км/ч.|70 км/ч.|3
23|Разрешается ли буксировка мотоциклов?|Разрешается буксировка мотоциклов с боковым прицепом.|Разрешается буксировка мотоциклов без бокового прицепа.|Разрешается в обоих случаях.|||1
24|При буксировке какое расстояние между транспортными средствами должна обеспечить гибкая сцепка?|1 - 3 м.|2 - 4 м.|3 - 6 м.|4 - 6 м.|4 - 8 м.|4
25|С какой максимальной скоростью разрешается движение легковых автомобилей, буксирующих с прицепом, по автомагистралям?|110 км/ч.|100 км/ч.|90 км/ч.|80 км/ч.|70 км/ч.|3
26|При буксировке на жесткой сцепке расстояние между транспортными средствами должно быть не более:|4-х м.|5-и м.|6-и м.|||1
27|При буксировке механических транспортных средств путем частичной погрузки перевозка пассажиров разрешается:|В кузове буксирующего автомобиля.|В кабине буксируемого автомобиля.|В кузове буксируемого автомобиля.|В кабине буксирующего автомобиля.||4
28|Разрешается ли буксировка мотоциклов с боковым прицепом?|Разрешается только на жесткой сцепке.|Запрещается.|Разрешается.|||3
29|С какой максимальной скоростью разрешается движение при буксировке на гибкой сцепке?|70 км/ч.|60 км/ч.|50 км/ч.|40 км/ч.|30 км/ч.|3
30|Груз размещается и, в случае необходимости, закрепляется на транспортном средстве так, чтобы он:|Не выступал выше бортов платформы.|Не создавал ощутимого шума, не поднимал пыль или не загрязнял дорогу и окружающую среду.|Не выступал за габариты транспортного средства сзади более чем на 0.8 м.|||2
31|На переднем сиденье легкового автомобиля, не оборудованного устройством для удерживания детей, разрешается перевозить детей, достигших:|10-тилетнего возраста.|11-тилетнего возраста.|12-тилетнего возраста.|||3
32|Разрешается ли перевозка людей на грузовом прицепе?|Запрещается.|Разрешается.|Разрешается только людям, сопровождающим груз.|||1
33|Разрешается ли перевозить детей, не достигших 12-летнего возраста на заднем сиденье мотоцикла?|Разрешается.|Запрещается.||||2
34|Разрешается ли во время движения нахождение людей в кузове грузового автомобиля, если он не оборудован для перевозки людей?|Запрещается.|Разрешается на дорогах, не относящихся к автомагистралям.|Разрешается только лицам, сопровождающим груз или следующим за его получением, при условии, что они обеспечены сиденьями, расположенными ниже уровня бортов.|||3
35|Перевозка людей на грузовом прицепе:|Запрещается.|Разрешается.|Разрешается только лицам, сопровождающим груз.|||1
36|Разрешается ли перевозка людей в буксируемом автобусе при буксировке на жесткой и гибкой сцепке?|Разрешается.|Разрешается до 8-и пассажиров.|Запрещается.|||3
37|Буксировка автобуса в условиях гололедицы запрещается:|На гибкой сцепке.|На жесткой сцепке.||||1
38|Разрешается ли перевозка людей в буксируемом механическом транспортном средстве при буксировке на жесткой и гибкой сцепке?|Разрешается в автобусе и троллейбусе.|Разрешается в кабине грузового автомобиля и в легковом автомобиле.|Разрешается в кузове грузового автомобиля и в легковом автомобиле.|Запрещается.||2
39|Перевозка людей запрещается, если:|Число пассажиров в салоне автобуса, движущегося по туристическим маршрутам, превышает число оборудованных для сидения мест.|Число пассажиров в салоне междугороднего автобуса превышает число оборудованных для сидения мест.|В обоих случаях.|||3
40|При перевозке организованных групп детей в салоне автобуса должен находиться по меньшей мере:|Один совершеннолетний сопровождающий.|Два совершеннолетних сопровождающих.|Три совершеннолетних сопровождающих.|||1
41|С какой максимальной скоростью разрешается движение междугородних и межобластных автобусов на всех дорогах вне населенных пунктов:|60 км/ч.|70 км/ч.|90 км/ч.|||3
42|Разрешается ли автобусам вне населенных пунктов двигаться со скоростью 70 км/ч?|Разрешается.|Запрещается.||||1
43|Движение междугородних автобусов в населенных пунктах разрешается со скоростью не более чем:|60 км/ч.|70 км/ч.|90 км/ч.|||1
44|С какой максимальной скоростью разрешается движение междугородних автобусов вне населенных пунктов?|60 км/ч.|70 км/ч.|90 км/ч.|||3
45|С какой максимальной скоростью разрешается движение автобусов на территориях, оборудованных знаками "Жилая зона" и "Конец жилой зоны"?|20 км/ч.|30 км/ч.|40 км/ч.|||1
46|Разрешается ли перевозка людей в буксируемом автобусе при буксировке на жесткой и гибкой сцепке?|Разрешается.|Запрещается.||||2
47|При перевозке людей в оборудованном кузове водитель грузового автомобиля обязан двигаться со скоростью не более:|50 км/ч.|60 км/ч.|70 км/ч.|||2
48|Разрешается ли перевозка пассажиров в буксирующем автобусе?|Запрещается.|Разрешается.||||2
49|При наличии этого знака с какой максимальной скоростью имеют право двигаться водители междугородних автобусов?|70 км/ч.|90 км/ч.|110 км/ч.|||2
50|С какой максимальной скоростью может двигаться водитель буксирующего автобуса в данной ситуации?|50 км/ч.|60 км/ч.|90 км/ч.|||1
51|С какой максимальной скоростью может двигаться водитель междугороднего автобуса в данной ситуации?|60 км/ч.|70 км/ч.|80 км/ч.|90 км/ч.||4
52|С какой скоростью водитель автобуса может продолжить движение по полосе, обозначенной данным дорожным знаком?|Менее 60 км/ч.|Не менее 60 км/ч, но не более 70 км/ч.|Не менее 60 км/ч, но не более 90 км/ч.|||3
53|Разрешается ли перевозка пассажиров в салоне автобуса в данной ситуации?|Запрещается.|Разрешается.|Разрешается в соответствии с количеством мест для сидения.|||1
54|Разрешается ли перевозка пассажиров в буксирующем автобусе при буксировке на жесткой и гибкой сцепке??|Запрещается.|Разрешается при буксировке на жесткой сцепке.|Разрешается.|||1
55|При буксировке на буксируемом транспортном средстве должны быть включены:|Дальний свет фар.|Ближний свет фар.|Аварийная световая сигнализация.|||3
56|С какой максимальной скоростью разрешается движение междугородних автобусов на автомагистралях?|70 км/ч.|80 км/ч.|90 км/ч.|100 км/ч.|110 км/ч.|3
57|С какой максимальной скоростью разрешается движение автобуса на участках дорог, находящихся в зоне действия данного дорожного знака?|70 км/ч.|80 км/ч.|90 км/ч.|100 км/ч.|110 км/ч.|3
58|С какой максимальной скоростью разрешается движение междугородних автобусов на автомагистралях?|70 км/ч.|80 км/ч.|110 км/ч.|100 км/ч.|90 км/ч.|5
59|С какой максимальной скоростью разрешается движение транспортных средств на территориях, находящихся в зоне действия знаков "Жилая зона" и "Конец жилой зоны"?|Не более 5 км/ч.|Не более 10 км/ч.|Не более 20 км/ч.|||3
60|С какой максимальной скоростью разрешается движение легковых автомобилей на участках дорог, находящихся в зоне действия данного дорожного знака?|70 км/ч.|80 км/ч.|90 км/ч.|100 км/ч.|110 км/ч.|5
61|С какой максимальной скоростью разрешается движение водителя грузового автомобиля с разрешенной максимальной массой не более 3.5 тонн в зоне действия указанных знаков?|Не более, чем 50 км/ч|Не более, чем 70 км/ч|Не более, чем 90 км/ч|||3
62|При буксировке механического транспортного средства по какой полосе этой дороги Вы можете продолжить движение?|Только правой|Любой||||1
63|Какие условия должен учитывать водитель при выборе скорости, не превышающей установленную?|Состояние покрытия дороги|Видимость по направлению движения|Оба указанных условия|||3
64|Какую скорость должен выбрать водитель в пределах максимально допустимой?|Обеспечивающую полный контроль над автомобилем|Может выбрать любую скорость, не превышающую максимально допустимую||||1
65|Водителю запрещается:|Превышать максимальную скорость, установленную технической характеристикой данного транспортного средства|Превышать скорость, предусмотренную установленным на транспортном средстве опознавательным знаком "Ограничение скорости"|Без необходимости двигаться с очень низкой скоростью, препятствуя движению других транспортных средств|Резко тормозить, если это не необходимо для предотвращения дорожно-транспортного происшествия|Все указанные действия|5
66|Водителю запрещается:|Проезжать железнодорожный переезд со скоростью более 30 км / ч|Проезжать железнодорожный переезд со скоростью менее 30 км / ч|Без разрешения начальника ж / д участка двигаться по переезду на тихоходных автомобилях - с низкой скоростью 8 км/ч, и тракторах с прикрепленными боронами|||3
67|При приближении к перекрестку водитель должен управлять транспортным средством с такой скоростью, чтобы:|Не превышать максимально допустимую на данном участке|Иметь возможность остановиться и пропустить транспортные средства, имеющие право первоочередного проезда||||2
68|Водителю запрещается увеличивать скорость, если:|Это создаст препятствие для водителя обгоняющего его транспортного средства выполнить обгон|Это необходимо для освобождения дороги для водителя, остановившегося, чтобы уступить ему дорогу|Это выполняется с целью освобождения перекрестка|||1
69|Водитель обязан снизить скорость:|При приближении к транспортным средствам, оборудованным опознавательным знаком "Перевозка детей", во время посадки и высадки детей|При ослеплении|В случае возникновения препятствия или опасности для движения|При приближении транспортного средства с включенными проблесковыми маячками синего и красного цветов и специальным звуковым сигналом, а также при приближении к стоящему транспортному средству с включенными проблесковыми маячками синего или синего и красного цветов|Во всех указанных случаях|5
70|Должен ли груз, выступающий сбоку за габариты транспортного средства, более чем на 0,4 м от внешнего края габаритного огня, быть обозначен опознавательными знаками "Крупногабаритный груз" в светлое время суток, а в темное время суток и в условиях недостаточной видимости, также - спереди - фонарем или световозвращателем белого цвета, сзади - фонарем или световозвращателем красного цвета|Да|Нет||||1
71|На грузовом автомобиле, водитель которого имеет водительское удостоверение, подтверждающее право на управление транспортными средствами категорий В и С, следуя правилам перевозки людей на грузовых автомобилях, разрешается перевозить до:|8 пассажиров|9 пассажиров|4 пассажиров|||1
72|Запрещается перевозить детей до 12 лет:|В кузове грузового автомобиля с боковым кузовом|В кузове грузового автомобиля Фургон||||1
73|Должен ли груз, выступающий за габариты транспортного средства сзади более чем на 1.2 м, быть обозначен опознавательными знаками "Крупногабаритный груз" в светлое время суток, а в темное время суток и в условиях недостаточной видимости, также - спереди - фонарем или световозвращателем белого цвета, сзади - фонарем или световозвращателем красного цвета|Да|Нет||||1
74|Перевозка груза запрещается, если:|Ограничивает поле зрения водителя|Затрудняет управление автомобилем и снижает устойчивость|Закрывает внешние осветительные приборы и световозвращатели, номерные знаки или опознавательные знаки, а также мешает восприятию сигналов, подающихся рукой|||4
75|Если состояние и расположение груза не позволяют его перевозку в соответствии с требованиями правил, то водитель должен:|Успешно доставить груз до ближайшего места разгрузки|Устранить нарушения или остановить дальнейшее движение||||2
76|Должен ли груз, выступающий за габариты транспортного средства сзади более чем на 0.6 м, быть обозначен опознавательными знаками "Крупногабаритный груз" в светлое время суток, а в темное время суток и в условиях недостаточной видимости, также - спереди - фонарем или световозвращателем белого цвета, сзади - фонарем или световозвращателем красного цвета|Да|Нет||||2
77|Должен ли груз, выступающий сбоку за габариты транспортного средства, более чем на 0,3 м от внешнего края габаритного огня, быть обозначен опознавательными знаками "Крупногабаритный груз" в светлое время суток, а в темное время суток и в условиях недостаточной видимости, также - спереди - фонарем или световозвращателем белого цвета, сзади - фонарем или световозвращателем красного цвета|Да|Нет||||2
