№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
14|Эксплуатация транспортных средств запрещена, если:|Двигатель работает с перебоями.|Задние противотуманные фонари не подключены к светодиодным стоп-сигналам.|Не работают предусмотренные конструкцией стеклоомыватели.|Во всех перечисленных случаях||3
15|Эксплуатация транспортных средств запрещена, если:|Установлены предметы, влекущие опасность травмирования участников дорожного движения.|Не работает устройство звукового сигнала.|В обоих случаях.|||3
16|Эксплуатация транспортных средств запрещена, если:|Имеется люфт в соединениях рамы мотоцикла с рамой бокового прицепа.|В передней части установлены противотуманные фары с огнями желтого цвета.|В обоих случаях.|||1
17|Эксплуатация транспортных средств запрещена, если:|В грузовом автомобиле отсутствует медицинская аптечка.|В передней части установлены светоотражающие приспособления белого цвета.|В обоих случаях.|||1
18|Эксплуатация транспортных средств запрещена, если:|На мотоцикле с боковым прицепом отсутствует медицинксая аптечка.|Неисправно опорно-сцепное устройство тягача.|В обоих случаях.|||3
19|Эксплуатация транспортных средств запрещена, если:|Не работают предусмотренные конструкцией транспортного средства ремни безопасности.|Установлены предметы, ограничивающие обзорность с места водителя.|В обоих случаях.|||3
20|Эксплуатация транспортных средств запрещена, если:|В конструкцию транспортного средства внесены изменения (переоборудования) без разрешения органа, осуществляющего учет транспортного средства.|В передней части установлены указатели поворота с огнями желтого цвета.|В обоих случаях.|||1
21|Эксплуатация транспортных средств запрещена, если:|Механическое транспортное средство, используемое для обучения практическому вождению, не оборудовано соответствующим опознавательным знаком.|Не работает указатель уровня топлива.|В обоих случаях.|||1
22|Эксплуатация транспортных средств запрещена, если:|Отсутствуют предусмотренные конструкцией дуги безопасности.|Остаточная высота протектора шин составляет 1.6 мм.|В обоих случаях.|||1
23|Эксплуатация транспортных средств запрещена, если:|В передней части установлены указатели поворота с огнями желтого цвета.|Отсутствует хотя бы один болт крепления обода колеса.|В обоих случаях.|||2
24|Эксплуатация транспортных средств запрещена, если:|В передней части установлены указатели поворота с огнями оранжевого цвета.|Неисправно тягово-сцепное устройство тягача.|В обоих случаях.|||2
25|Эксплуатация транспортных средств запрещена, если:|В передней части установлены светоотражающие приспособления белого цвета.|Неисправно тягово-сцепное устройство тягача.|В обоих случаях.|||2
26|Эксплуатация транспортных средств запрещена, если:|Отсутствуют предусмотренные конструкцией ремни безопасности.|В задней части установлены фонари заднего хода с огнями белого цвета.|В обоих случаях.|||1
27|Эксплуатация мотоциклов с боковыми прицепами запрещена, если:|Отсутствует предусмотренная конструкцией поперечная рукоятка для пассажира на седле.|Остаточная высота протектора шин мотоцикла составляет 0.6 мм.|Отсутствует медицинская аптечка.|Во всех перечисленных случаях.||4
28|Эксплуатация транспортных средств запрещена, если:|Не работает предусмотренный конструкцией механизм регулировки положения сидения водителя.|Не работают приборы внутреннего освещения салона автобуса.|В обоих случаях.|||3
29|Эксплуатация транспортных средств запрещена, если:|Не работают приборы внутреннего освещения салона легкового автомобиля.|Отсутствуют предусмотренные конструкцией подголовники сидений.|В обоих случаях.|||2
30|Эксплуатация транспортных средств запрещена, если:|В задней части установлены светоотражающие приспособления красного цвета.|Не работает предусмотренный конструкцией спидометр.|В обоих случаях.|||2
31|Эксплуатация транспортных средств запрещена, если:|Суммарный люфт в рулевом управлении легкового автомобиля превышает 10 градусов.|Отсутствуют предусмотренные конструкцией грязезащитные фартуки и брызговики.|В обоих случаях.|||3
32|Эксплуатация транспортных средств запрещена, если:|Затруднен пуск двигателя.|В автобусе отсутствует медицинская аптечка.|В обоих случаях.|||2
33|Эксплуатация транспортных средств запрещена, если:|В легковом автомобиле отсутствует медицинская аптечка.|В задней части установлены фонари заднего хода с огнями красного цвета.|В обоих случаях.|||3
34|Эксплуатация транспортных средств запрещена, если:|В автобусе отсутствует знак "Аварийная остановка".|В задней части установлены фонари освещения учетного номерного знака с огнями белого цвета.|В обоих случаях.|||1
35|Эксплуатация транспортных средств запрещена, если:|Остаточная высота рисунка протектора шин прицепа легкового автомобиля -менее 1,6 мм.|В задней части установлены указатели поворота с огнями оранжевого цвета.|В обоих случаях.|||1
36|Эксплуатация транспортных средств запрещена, если:|Нарушена герметичность гидравлического тормозного привода.|В задней части установлены указатели поворота с огнями белого цвета.|В обоих случаях.|||3
37|Эксплуатация транспортных средств запрещена, если:|На одну ось установлены шины различных конструкций.|Нарушена герметичность системы питания двигателя.|В обоих случаях.|||3
38|Эксплуатация транспортных средств запрещена, если:|Не работает устройство звукового сигнала.|Система охлаждения не обеспечивает стабильный тепловой режим работы двигателя.|В обоих случаях.|||1
39|Эксплуатация транспортных средств запрещена, если:|Резьбовые соединения рулевого управления не затянуты или не зафиксированы установленным способом.|В автобусе отсутствуют огнетушители.|В обоих случаях.|||3
40|Эксплуатация транспортных средств запрещена, если:|В рулевом управлении имеются не предусмотренные конструкцией перемещения деталей и узлов.|В передней части установлены указатели поворота с огнями белого цвета.|В обоих случаях.|||1
41|Эксплуатация транспортных средств запрещена, если:|Остаточная высота рисунка протектора шин автобуса составляет 1,8 мм.|Нарушена герметичность гидравлического тормозного привода.|В обоих случаях.|||3
42|Эксплуатация транспортных средств запрещена, если:|Не действует манометр пневматического тормозного привода.|Остаточная высота протектора шин автобуса составляет 1,6 мм.|В обоих случаях.|||3
43|Эксплуатация транспортных средств запрещена, если:|Не работают в установленном режиме внешние световые приборы.|Остаточная высота рисунка протектора шин автобуса составляет 0,8 мм.|В обоих случаях.|||3
44|Эксплуатация автобусов запрещена, если:|Двигатель работает с перебоями.|Шины имеют обнажающие корд внешние повреждения.|В обоих случаях.|||2
45|Эксплуатация автобусов запрещена, если:|Отсутствует медицинская аптечка.|Остаточная высота рисунка протектора шин автобуса составляет 2.2 мм.|В обоих случаях.|||1
46|Эксплуатация транспортных средств запрещена, если:|Не работают приборы внутреннего освещения салона легкового автомобиля.|Не работают приборы освещения салона автобуса.|В обоих случаях.|||2
47|Эксплуатация транспортных средств запрещена, если:|Суммарный люфт в рулевом управлении автобуса, изготовленном на базе легкового автомобиля, превышает 10 градусов.|Отсутствуют предусмотренные конструкцией грязезащитные фартуки и брызговики.|В обоих случаях.|||3
48|Эксплуатация транспортных средств запрещена, если:|Суммарный люфт в рулевом управлении автобуса, изготовленном на базе легкового автомобиля, превышает 15 градусов.|Суммарный люфт в рулевом управлении автобуса составляет 15 градусов.|В обоих случаях.|||1
49|Эксплуатация автобусов запрещена, если:|В задней части установлены светоотражающие приспособления белого цвета.|В задней части установлены светоотражающие приспособления красного цвета.|В обоих случаях.|||1
50|Эксплуатация автобусов запрещена, если:|Имеется не менее 2-х противооткатных упоров.|В задней части установлены светоотражающие приспособления белого цвета.|В обоих случаях.|||2
51|Эксплуатация автобусов запрещена, если:|Не работают аварийные открыватели дверей.|В передней части установлены указатели поворота красного цвета.|В обоих случаях.|||3
52|Эксплуатация автобусов запрещена, если:|Не работает сигнал требования остановки.|В задней части установлены указатели поворота и красного цвета.|В обоих случаях.|||1
53|Эксплуатация автобусов запрещена, если:|Остаточная высота рисунка протектора шин автобуса составляет 1.6 мм.|Не работает указатель температуры охлаждающей жидкости двигателя.|В обоих случаях.|||1
54|Эксплуатация автобусов запрещена, если:|Остаточная высота рисунка протектора шин автобуса составляет 2.5 мм.|Не работают приборы внутреннего освещения салона.|В обоих случаях.|||2
55|Эксплуатация автобусов запрещена, если:|Не работают аварийные выходы и устройства приведения их в действие.|Не работает сигнал требования остановки.|В обоих случаях.|||3
56|Эксплуатация автобусов запрещена, если:|Не работает привод управления дверьми.|Отсутствует медицинская аптечка.|В обоих случаях.|||3
57|Эксплуатация автобусов, имеющих разрешенную максимальную массу свыше 5 тонн, запрещена, если:|Отсутсвуют противооткатные упоры.|В задней части установлены фонари заднего хода красного цвета.|В обоих случаях.|||3
58|Эксплуатация автобусов запрещена, если:|Имеется один огнетушитель.|Отсутствует знак "Аварийная остановка".|В обоих случаях.|||3
59|Эксплуатация автобусов запрещена, если:|Имеется один противооткатный упор.|Имеется один огнетушитель.|В обоих случаях.|||3
60|Эксплуатация транспортных средств запрещается, если:|не работает предусмотренный конструкцией замок двери кузова|не работает предусмотренный конструкцией замок двери кабины|В обоих случаях|||3
61|Эксплуатация транспортных средств запрещается, если:|В задней части установлены световые указатели поворота красного цвета|Отсутствует предусмотренное конструкцией заднее защитное устройство|В обоих случаях|||2
62|Эксплуатация транспортных средств запрещается, если:|Стояночная тормозная система не обеспечивает неподвижное состояние на установленном стандартом уклоне|Нарушена герметичность поршней коробки передач.|В обоих случаях|||3
63|Эксплуатация транспортных средств запрещается, если:|Не работает держатель запасного колеса|Нарушена герметичность поршней заднего моста.|В обоих случаях|||3
64|Эксплуатация транспортных средств запрещается, если:|На ленте предусмотренных конструкцией ремней безопасности присутствуют видимые разрывы.|Не оборудовано противотуманными фарами.|В обоих случаях|||1
65|Эксплуатация транспортных средств запрещается, если:|Не работает предусмотренная конструкцией клапанная крышка двигателя.|Задние боковые стекла зашторены и присутствуют 2 боковых зеркала заднего вида.|В обоих случаях|||1
66|Эксплуатация транспортных средств запрещается, если:|Задние боковые стекла зашторены и отсутствуют 2 боковых зеркала заднего вида.|Не работают предусмотренные конструкцией устройства обогрева стекол и воздуходувки.|В обоих случаях|||3
67|Эксплуатация транспортных средств запрещается, если:|Не работает предусмотренная конструкцией пробка топливного бака.|Передние боковые стекла зашторены.|В обоих случаях|||3
68|Эксплуатация транспортных средств запрещается, если:|Сигнал звукового сигнализатора не работает.|Отсутствуют стекла, предусмотренная конструкцией транспортного средства.|В обоих случаях|||3
69|Эксплуатация транспортных средств запрещается, если:|На колесном ободе или диске присутствуют трещины|Присутствуют видимые нарушения типа и размеров отверстий для крепления колесного обода|В обоих случаях|||3
70|Эксплуатация транспортных средств запрещается, если:|Загрязнены внешние световые приборы и световозвращатели|Загрязнены передние и задние защитные устройства|В обоих случаях|||1
71|Эксплуатация транспортных средств запрещается, если:|На световых приборах отсутствуют лампы или рассеиватели|Используются лампы или рассеиватели, не соответствующие типу данного светового прибора|В обоих случаях|||3
72|Эксплуатация транспортных средств запрещается, если:|Загрязнены внешние световые приборы и световозвращатели|На транспортном средстве, снятом с производства, установлены внешние световые приборы транспортного средства другой марки|В обоих случаях|||1
73|Эксплуатация транспортных средств запрещается, если:|На одну ось транспортного средства установлены шины с различными рисунками протектора|Остаточная высота рисунка протектора шины легкового автомобиля -составляет 1,6 мм.|||1
74|Эксплуатация транспортных средств запрещается, если:|Остаточная высота рисунка протектора шины грузового автомобиля -составляет 1,4 мм.|В передней части установлены световозвращатели желтого цвета|В обоих случаях|||2
75|Эксплуатация транспортных средств запрещается, если:|В задней части установлены световозвращатели желтого цвета|В передней части установлены световозвращатели желтого цвета|В обоих случаях|||3
76|Эксплуатация транспортных средств запрещается, если:|В задней части установлен опознавательный знак "Крупногабаритный груз" со светоотражающими полосами белого и красного цветов|Остаточная высота рисунка протектора шин мопеда составляет 0,7 мм.|В обоих случаях|||2
77|Эксплуатация транспортных средств запрещается, если:|На машине, управляемой со стороны врача-водителя, отсутствует опознавательный знак "Врач"|Не работает предусмотренная конструкцией пробка топливного бака.|В обоих случаях|||2
78|Эксплуатация транспортных средств запрещается, если:|На одну ось транспортного средства установлены шины с различными рисунками протектора|В передней части установлен опознавательный знак "Перевозка детей" на желтом световозвращающем фоне и с красной световозвращающей каймой|В обоих случаях|||1
