№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
11|Вы видите лежащего на земле человека и замечаете торчащую из голена кость и кровь. Если место происшествия безопасно, что следует делать в первую очередь?|Вызвать скорую помощь.|Проверить сознание и дыхание.|Обездвижить ногу.|||2
12|Когда пострадавший имеет открытый перелом конечности, то при оказании помощи необходимо:|Немедленно приподнять конечность пострадавшего.|Накрыть рану стерильной салфеткой и обездвижить травмированную конечность.|Надавив, остановить кровотечение.|Наложить на рану холодные примочки.||2
13|При травме грудной клетки необходимо:|Уложить пострадавшего в горизонтальном положении.|Посадить, прислонив на травмированную сторону.|Посадить, прислонив на здоровую сторону.|||2
14|При выпадении органов вследствие открытой травмы брюшной полости пострадавшего необходимо:|Промыть и попытаться осторожно вложить выпавшие органы обратно.|Накрыть выпавшие органы чистой влажной тканью и полиэтиленовой пленкой.|Перерезать выпавшие органы и перевязать рану.|Не трогать, в этом состоянии перевезти в больницу.||2
15|Пострадавшего, находящегося в бессознательном состоянии при наличии дыхания, необходимо:|Уложить на спину.|Открыть рот и вытянуть язык.|Повернуть на бок и откинуть голову назад.|||3
16|При сильном кровотечении необходимо:|Только перевязать рану.|Наложить тугую повязку на поврежденный участок и надавить на точку сдавливания артерии.|Посыпать рану пеплом.|||2
17|При автомобильной аварии в первую очередь необходимо:|Устроить пострадавшего в удобном положении.|Обследовать место происшествия и обеспечить безопасность.|Проверить наличие сильного кровотечения у пострадавшего.|Вынести пострадавшего из автомобиля.||2
18|Если в ране пострадавшего находится инородный предмет, то при оказании помощи необходимо:|Удалить из раны инородный предмет.|Не препятствовать кровотечению поврежденного участка.|Обеспечить неподвижное состояние инородного предмета.|Обработать спиртом участок раны.||3
19|В состоянии покоя у взрослого человека пульс составляет:|40-60 ударов в минуту.|60-80 ударов в минуту.|80-100 ударов в минуту.|||2
20|В состоянии покоя у взрослого человека частота дыхания составляет:|12-18 дыхательных движений в минуту.|20-30 дыхательных движений в минуту.|40-60 дыхательных движений в минуту.|||1
21|При аварии пострадавшего из автомобиля следует вынести, если:|У пострадавшего наблюдаются серьезные травмы.|Место происшествия небезопасно, например, есть опасность взрыва.|На автомобиль упал электрический провод.|||2
22|При подозрении на внутреннее кровотечение в брюшной полости, при оказании помощи необходимо:|Уложить пострадавшего и наложить на травму холодную примочку.|Положить на живот горячую грелку.|Наложить на живот тугую повязку.|Дать пострадавшему обильное питье.||1
23|Из соседского автогаража Вы слышите звук двигателя машины и, открыв дверь, видите лежащего на полу соседа. Что следует предпринять в первую очередь?|Распахнуть двери и выключить двигатель, при возможности, вынести пострадавшего с места происшествия.|Тщательно обследовать пострадавшего с целью обнаружения травм.|Повернуть пострадавшего на бок, в безопасное положение.|Помочь пострадавшему принять положение полусидя.||1
24|При обнаружении пострадавшего в бессознательном состоянии в первую очередь необходимо:|Напоить его холодной водой.|Повернуть его на бок, в безопасное положение.|Обеспечить нормальную температуру тела.|Открыть дыхательные пути и проверить дыхание.||4
25|Для проверки кровообращения в конечностях пострадавшего Вы ниже повязки надавливаете и отпускаете ноготь на пальце травмированной конечности. Вы определяете, что кровообращение нарушено, если:|Пострадавший чувствует боль.|Пострадавший чувствует беспокойство.|При нажатии ноготь белеет с трудом.|Ноготь с трудом возвращается в прежний розовый цвет.||4
26|Ваш приятель, больной сахарным диабетом, плохо себя чувствует и не помнит, когда в последний раз принимал инсулин. Что следует предпринять в первую очередь?|Дать ему сахар или сладкую жидкость.|Предложить ему отдохнуть несколько часов.|Посоветовать сделать инъекцию инсулина.|||1
27|Кровотечение считается наиболее опасным, если:|Кровь свертывается в течение 10 минут.|Кровь бьет из раны струей.|Кровь темно-красного цвета.|Кровь из раны вытекает непрерывно.||2
28|Автомобиль столкнулся со столбом, и оборвавшийся электрический провод лежит на находящемся без сознания пострадавшем. При оказании помощи, в первую очередь следует:|Отдалить пострадавшего от источника тока.|Провести первичное обследование.|С помощью какого-либо изолирующего предмета удалить провод с пострадавшего.|Искать места входа и выхода электрического тока (места ожога) на теле.||3
29|Для того, чтобы избежать заражения при оказании первой помощи следует:|Избегать прямого контакта с раной и помощь оказывать только в стерильных перчатках.|Не оказывать помощь тем пострадавшим, у которых наблюдается кровотечение.||||1
30|В случае приступа бронхиальной астмы у пострадавшего следует:|Помочь принять положение полусидя.|Уложить и приподнять ноги.|Уложить, согнув ноги в коленных суставах.|Уложить, приподняв голову.||1
31|Пострадавшего с травмой в брюшной полости следует:|Уложить, приподняв голову.|Уложить и приподнять ноги.|Уложить, согнув ноги в коленных суставах.|||3
32|Если пострадавший находится в бессознательном состоянии, следует:|Помочь принять положение полусидя.|Уложить и приподнять ноги.|Уложить, согнув ноги в коленных суставах.|Уложить, приподняв голову.||2
33|При наезде автомобилем с низким кузовом на пешехода, имеющего рост 1 м 55 см. или более, наиболее возможны:|Травмы нижней конечности и головы.|Травмы таза и грудной клетки.||||1
34|При наезде автомобилем с низким кузовом на 3-5 летнего ребенка наиболее возможными травмами являются:|Травмы нижней конечности и головы.|Травмы таза и грудной клетки.||||2
35|Если электрический провод лежит на автомобиле, необходимо:|Помочь находящимся в автомобиле людям срочно покинуть автомобиль.|Попросить находящихся в автомобиле людей не выходить из автомобиля, пока не будет выключен электрический ток.||||2
36|При обработке менее опасных ран следует:|Промыть рану чистой водой с мылом, после чего перевязать.|Обработать рану веществом на спиртовой основе (йод, водка, духи и т.д).||||1
37|При обработке опасных ран следует:|Промыть рану чистой водой с мылом.|Обработать рану веществом на спиртовой основе (йод, водка, духи и т.д).|Остановить кровотечение и перевязать рану.|||3
38|В случае аварии, какую информацию нужно предоставить оператору для вызова скорой помощи?|Указать ориентир, ближайший к месту аварии. Сообщить количество пострадавших, указать их пол и возраст.|Указать улицу и номер дома, ближайшие к месту аварии. Сообщить, кто пострадал в результате аварии (пешеход, водитель автомобиля или пассажир) и описать полученные травмы.|Указать место аварии (улицу, номер дома и ориентир, ближайший к месту аварии). Сообщить количество пострадавших, их пол и приблизительный возраст, о наличии сознания, дыхания, кровообращения, а также сильного кровотечения, переломов и других травм. Подождать, пока оператор укажет, что вызов принят.|||3
39|Какое оптимальное положение следует занять пострадавшему в сознании при подозрении на травмы позвоночника?|Уложить пострадавшего на бок.|Уложить пострадавшего на спину на твердую, гладкую поверхность, не передвигая, не менять положение без необходимости.|Уложить пострадавшего на спину, под шею подложить валик из одежды и поднять ноги.|||2
40|Как оказать первую помощь при отморожении и переохлаждении?|Растереть пораженные участки тела снегом или шерстью, затем их утеплить, дать алкоголь, переместить в теплое помещение.|Утеплить пораженные участки тела и обездвижить их, укутать пострадавшего теплой одеждой или пледом, дать теплое питье, переместить в теплое помещение.|Смазать пораженные участки тела кремом, наложить согревающий компресс и грелку, переместить в теплое помещение, дать теплое питье.|||2
41|Какова первая помощь при черепно-мозговой травме, сопровождающейся ранением волосистой части головы?|Остановить кровотечение прямым давлением на рану и наложить давящую повязку. При потере сознания придать устойчивое боковое положение. По возможности, приложить к месту травмы голову холод.|Фиксировать шейный отдел позвоночника с помощью импровизированной шейной шины (воротника). На рану наложить стерильный ватный тампон, пострадавшего уложить на спину, приподняв ноги. По возможности, к голове приложить холод.|Шейную шину накладывать запрещается, рану необходимо заклеить медицинским пластырем, пострадавшего уложить на бок.|||1
42|Как следует уложить пострадавшего при потере им сознания и наличии дыхания и кровообращения для оказания первой помощи?|На спину с подложенным под голову валиком.|На спину с вытянутыми ногами.|Придать пострадавшему устойчивое боковое положение, чтобы согнутые колени опирались о землю, а верхняя рука находилась под щекой.|||3
43|На какой срок может быть наложен кровоостанавливающий жгут?|Не более получаса в теплое время года и не более одного часа в холодное время года.|Не более одного часа в теплое время года и не более получаса в холодное время года.|Время наложения жгута не ограничено.|||2
44|Как определить наличие дыхания у потерявшего сознание пострадавшего?|Взять пострадавшего за подбородок, запрокинуть голову и в течение 10 секунд проследить за движением его грудной клетки.|Положить одну руку на лоб пострадавшего, двумя пальцами другой поднять подбородок и, запрокинув голову, наклониться к его лицу и в течение 10 секунд прислушаться к дыханию, постараться ощутить выдыхаемый воздух своей щекой, проследить за движением грудной клетки.|Не запрокидывая головы пострадавшего, необходимо наклониться к его лицу и в течение 10 секунд прислушаться к дыханию, попробовав почувствовать его своей щекой, проследить за движением его грудной клетки.|||2
45|Каковы признаки кровотечения из крупной артерии и с чего начинается первая помощь при повреждении крупной артерии?|Кровь темного цвета вытекает из раны медленно. На рану накладывается давящая повязка, с указанием в записке времени наложения повязки.|Кровь ярко-алого цвета вытекает из раны пульсирующей или фонтанирующей струей. Артерия прижимается пальцами, затем в точке прижатия выше раны, максимально близко к ней, накладывается кровоостанавливающий жгут с указанием в записке времени наложения жгута.|Кровь вытекает из раны медленно. Накладывается кровоостанавливающий жгут ниже места ранения, с указанием в записке времени наложения жгута.|||2
46|Разрешается ли давать пострадавшему лекарственные средства при оказании первой помощи?|Разрешается.|Разрешается в случае крайней необходимости.|Запрещается.|||3
47|Как остановить кровотечение при ранении вены и некрупных артерий?|Наложить давящую повязку на место ранения.|Наложить жгут выше места ранения.|Наложить жгут ниже места ранения.|||1
48|Каковы первоначальные действия при оказании первой помощи в случае ранения, полученного в результате ДТП?|Промыть рану водой, удалить инородные тела, внедрившиеся в рану, приложить стерильную вату, закрепив ее бинтовой повязкой.|Надеть медицинские перчатки, рану промыть спиртовым раствором йода, смазать лечебной мазью и заклеить лейкопластырем.|Надеть медицинские перчатки, рану не промывать, наложить на нее марлевую стерильную салфетку, закрепив ее лейкопластырем по краям или бинтовой повязкой.|||3
49|Как оказывается первая помощь при переломах конечностей, если отсутствуют шины и подручные средства для их изготовления?|Верхнюю конечность, вытянутую вдоль тела, прибинтовывают к туловищу. Нижние конечности прибинтовывают друг к другу, проложив между ними мягкую ткань.|Верхнюю конечность, согнутую в локте, подвешивают на косынке к туловищу. Нижние конечности прибинтовывают друг к другу, проложив между ними мягкую ткань.|Верхнюю конечность, согнутую в локте, подвешивают на косынке и прибинтовывают к туловищу. Нижние конечности прибинтовывают друг к другу.|||2
50|В каких случаях пострадавшего следует извлекать из салона автомобиля?|При высокой вероятности опрокидывания автомобиля, пожара, взрыва или при потере потерпевшим сознания.|При высокой вероятности опрокидывания автомобиля, пожара, взрыва, переохлаждения потерпевшего, при отсутствии у него сознания и дыхания, а также невозможности оказания первой помощи непосредственно в салоне автомобиля.|При высокой вероятности опрокидывания автомобиля, пожара, взрыва или при обильном кровотечении либо черепно-мозговой травме.|||2
51|Какова первая помощь при наличии признаков поверхностного термического ожога (покраснение и отек кожи, образование на месте ожога пузырей, наполненных прозрачной жидкостью, сильная боль)?|Полить ожоговую поверхность холодной водой, накрыть стерильной салфеткой и туго забинтовать.|Вскрыть ожоговые пузыри, очистить ожоговую поверхность от остатков одежды, накрыть стерильной салфеткой (не бинтовать), по возможности приложить холод, поить пострадавшего водой.|Охладить ожоговую поверхность водой в течение 20 минут. Ожоговые пузыри не вскрывать, остатки одежды с обожженной поверхности не удалять, место ожога накрыть стерильной салфеткой (не бинтовать), по возможности приложить холод и поить пострадавшего водой.|||3
