№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
78|После включения разрешающего сигнала светофора мы можем выехать на перекресток:|Только при выполнении разворота или поворота.|Во всех случаях.||||1
79|После включения зеленого сигнала мы обязаны:|Убедиться, что в невидимой части пешеходного перехода нет пешеходов, не завершивших переход.|Согласно сигналу светофора непосредственно начать движение.||||1
80|Обязаны ли Вы уступить дорогу автобусу?|Да.|Нет.||||1
81|При выполнении разворота в данной ситуации уступить дорогу другому водителю:|Не обязаны.|Обязаны.||||2
82|С этого положения в каком направлении водитель может продолжить движение?|Только прямо.|Прямо и направо.|Прямо и налево.|Всех.||1
83|Какой водитель может продолжить движение?|Ни один.|Только водитель автобуса.|Оба водителя.|||3
84|Проезжать переезд:|Разрешается.|Запрещается.||||1
85|Где следует остановиться, подчиняясь сигналу светофора?|Перед светофором.|Перед пересекаемой проезжей частью.|В любом месте.|||1
86|Выполнение поворота налево разрешается:|С полосы реверсивного движения.|С указанной нарисунке полосы.||||2
87|Движение разрешается:|Только прямо.|Только направо.|Прямо и направо.|||3
88|Движение разрешается:|Прямо и направо.|Только прямо.|Только направо.|||3
89|Стрелки, изображенные на зеленом сигнале светофора, информируют:|Поворот направо запрещен.|Движение направо регулируется дополнительной секцией.||||2
90|Разрешен ли обгон грузового автомобиля?|Да.|Нет.||||2
91|В каком направлении водитель может продолжить движение в данной ситуации?|Только налево.|Должен дождаться разрешающего сигнала.|Налево и в обратном направлении.|||3
92|Въезжать на полосу реверсивного движения в данной ситуации:|Разрешено.|Разрешено только с целью обгона.|Запрещено.|||1
93|С указанной полосы прямое движение:|Разрешено.|Разрешено только после включения основного зеленого сигнала.|Запрещено.|||3
94|Движение разрешается:|Прямо и направо.|Только направо.|Во всех направлениях.|||3
95|В данной ситуации движение:|Разрешено.|Запрещено.||||2
