№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
16|Согласно закону РА "Об обеспечении безопасности дорожного движения", транспортным средством общего пользования считается:|Транспортное средство (трамвай, троллейбус, автобус), имеющее места остановки (остановки), движущееся по маршрутам, перевозящее пассажиров и (или) багаж.|Транспортное средства (трамвай, троллейбус, автобус), имеющее места остановки (остановки), движущееся по маршрутам, перевозящее пассажиров и (или) багаж, а также легковые автомобили такси.|||1
17|Согласно закону РА "Об обеспечении безопасности дорожного движения", к пешеходам приравниваются:|Инвалиды, передвигающиеся в инвалидной коляске без двигателя.|Лица, везущие (толкающие) тележку, санки, детскую или инвалидную коляску.|Все перечисленные лица.||3
18|Согласно закону РА "Об обеспечении безопасности дорожного движения", прицепом (полуприцепом) считается:|Любое механическое транспортное средство, буксируемое на жесткой сцепке.|Не оборудованное двигателем транспортное средство, которое предназначено для приведения в движение посредством механического транспортного средства и движения в его составе в качестве единого целого (включая специальный прицеп).|||2
19|Согласно закону РА "Об обеспечении безопасности дорожного движения", на дорогах Республики Армения устанавливается:|Правостороннее движение.|Левостороннее движение.|||1
20|Согласно закону РА "Об обеспечении безопасности дорожного движения", стоянкой считается:|Преднамеренное приведение транспортного средства в неподвижное состояние на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузкой, разгрузкой транспортного средства.|Преднамеренное приведение транспортного средства в неподвижное состояние на время более 5 минут, за исключением случаев предупреждения столкновения с другим участником дорожного движения или каким-либо препятствием, посадки, высадки пассажира и (или) загрузки, разгрузки транспортного средства, а также других случаев, предусмотренных законодательством.|||2
21|Согласно закону РА "Об обеспечении безопасности дорожного движения", лицам, призванным на службу в Вооруженные Силы и другие войска РА, водительское удостоверение на право управления транспортных средств категории "D" и подкатегории "D1" может выдаться:|Лицам от 18 лет.|Лицам от 19 лет.|Лицам от 20 лет.|Лицам от 21 года.|2
22|Согласно закону РА "Об обеспечении безопасности дорожного движения", в каком сроке со дня приобретения транспортного средства оно должно быть представленно на государственную регистрацию в органы Дорожной полиции?|В течение 15 дней.|В течение 10 дней.|В течение 20 дней.||1
23|Согласно закону РА "Об обеспечении безопасности дорожного движения", ответственность за содержание в технически годном состоянии транспортного средства, участвующего в дорожном движении, несет:|Собственник или пользователь транспортного средства.|Организация, которая продала транспортное средство.|Организация, которая провела последний годовой технический осмотр транспортного средства.|Все перечисленные лица и организации.|1
24|Согласно закону РА "Об обеспечении безопасности дорожного движения", до начала движения водитель обязан проверить:|Исправность тормозной системы и рулевого управления.|Соответствие остаточной высоты рисунка протектора шин установленным нормам.|Все перечисленное.||3
25|Согласно закону РА "Об обеспечении безопасности дорожного движения", водитель траспортного средства обязан предоставлять транспортное средство в целях содействия:|Служащим Полиции для перемещения в медицинское учреждение лиц, нуждающихся в срочной медицинской помощи.|Медицинским работникам, которые в целях оказания медицинской помощи следуют в том же направлении (с согласия водителя).|В обоих случаях.||3
26|Согласно закону РА "Об обеспечении безопасности дорожного движения", водитель траспортного средства, в случае причастности к дорожно-транспортному происшествию, обязан:|Немедленно остановить транспортное средство.|Включить аварийную световую сигнализацию.|Не перемещать связанные с аварией предметы.|Выполнить все перечисленные действия.|4
27|Согласно закону РА "Об обеспечении безопасности дорожного движения", водитель механического транспортного средства обязан иметь при себе:|Удостоверение на право управления транспортным средством данной категории и регистрационные документы транспортного средства.|Доверенность, в случае управления транспортного средства, принадлежащего другому лицу.|Все перечисленные документы.||1
28|Согласно закону РА "Об обеспечении безопасности дорожного движения", полосой движения считается:|Обозначенная разметкой продольная полоса проезжей части, ширина которой достаточна для движения транспортных средств в один ряд.|Обозначенная или не обозначенная разметкой продольная полоса проезжей части, ширина которой достаточна для движения транспортных средств в один ряд.|||2
29|Согласно закону РА "Об обеспечении безопасности дорожного движения", разрешенной максимальной массой считается:|Масса снаряженного и заправленного транспортного средства.|Масса нагруженного, снаряженного и заправленного транспортного средства с водителем, пассажирами и грузом.|||2
30|Согласно закону РА "Об обеспечении безопасности дорожного движения", регулировщиком считается:|Лицо, имеющее полномочия на регулирование дорожного движения и осуществляющее это регулирование в установленном законодательством порядке.|Любой участник дорожного движения (водитель, пассажир или пешеход), который выполняет регулирующие действия в случае необходимости.|Все перечисленные лица.||1
31|Согласно закону РА "Об обеспечении безопасности дорожного движения", велосипедом считается:|Транспортное средство, в том числе инвалидная коляска, имеющее по меньшей мере 2 колеса и, как правило, приводимое в движение мускульной силой находящегося на нем человека, в частности, при помощи педалей или ручек.|Транспортное средство, за исключением инвалидной коляски, имеющее по меньшей мере 2 колеса и, как правило, приводимое в движение мускульной силой находящегося на нем человека, в частности, при помощи педалей или ручек.|||2
32|Согласно закону РА "Об обеспечении безопасности дорожного движения", обучающий вождению транспортного средства:|Приравнивается к водителю.|Не приравнивается к водителю.|||1
33|Согласно закону РА "Об обеспечении безопасности дорожного движения", аварийной ситуацией считается:|ситуация, возникшая вследствие действия и (или) бездействия участника движения, при которой создается реальная угроза дорожно-транспортного происшествия.|ситуация, возникшая вследствие действия и (или) бездействия участника движения и (или) регулировщика, при которой создается реальная угроза дорожно-транспортного происшествия.|||2
34|Согласно закону РА "Об обеспечении безопасности дорожного движения", темным временем суток считается:|Период времени осенью и зимой - с 20.00 вечера до 8.оо утра, весной и летом - с 22.00 вечера до 6.00 утра.|Период времени между концом вечерних сумерек и началом утренних сумерек.|Время отсутствия солнечного освещения.||2
35|Согласно закону РА "Об обеспечении безопасности дорожного движения", автобусом считается:|Автомобиль, своей структурой и обустроенностью предназначенный для безопасной и удобной перевозки пассажиров и груза, имеющий более 8-и мест для сидения пассажиров.|Автомобиль, своей структурой и обустроенностью предназначенный для безопасной и удобной перевозки пассажиров и груза, имеющий 8 и более мест для сидения пассажиров.|||1
36|Согласно закону РА "Об обеспечении безопасности дорожного движения", легковым автомобилем считается:|Автомобиль, своей структурой и обустроенностью предназначенный для безопасной и удобной перевозки пассажиров и груза, имеющий не более 8-и мест для сидения пассажиров.|Автомобиль, своей структурой и обустроенностью предназначенный для безопасной и удобной перевозки пассажиров и груза, имеющий не более 4-х мест для сидения пассажиров (за исключением детей до 12 лет).|||1
37|Согласно закону РА "Об обеспечении безопасности дорожного движения", к пешеходами приравниваются:|Инвалиды, передвигающиеся со скоростью пешехода в инвалидной коляске с двигателем.|Лица, ведущие велосипед, мопед или мотоцикл|Все перечисленные лица.||3
38|Согласно закону РА "Об обеспечении безопасности дорожного движения", право на управление транспортными средствами возникает:|С момента положительной сдачи практических экзаменов по вождению транспортных средств в подразделениях Дорожной полиции.|С момента получения удостоверения на право вождения.|||2
39|Согласно закону РА "Об обеспечении безопасности дорожного движения", международные удостоверения на право управления транспортных средств категорий "А" и "В" могут выдаться:|Лицам от 16 лет.|Лицам от 17 лет.|Лицам от 18 лет.||3
40|Согласно закону РА "Об обеспечении безопасности дорожного движения", международное удостоверение на право управления транспортных средств категории "С" может выдаться:|Лицам от 18 лет.|Лицам от 20 лет.|Лицам от 21 года.||3
41|Согласно закону РА "Об обеспечении безопасности дорожного движения", национальные водительские удостоверения выдаются:|На 5 лет.|На 10 лет.|На 20 лет.|Бессрочно.|2
42|Согласно закону РА "Об обеспечении безопасности дорожного движения", международные водительские удостоверения выдаются:|На 1 год.|На 3 года.|На 5 лет.|Бессрочно.|2
43|Согласно закону РА "Об обеспечении безопасности дорожного движения", остановкой считается:|Приведение транспортного средства в неподвижное состояние в связи с требованием пассажира.|Приведение транспортного средства в преднамеренное неподвижное состояние на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузки, разгрузки транспортного средства.|Приведение транспортного средства в преднамеренное неподвижное состояние на время до 5 минут или на время, необходимое для посадки или высадки пассажира и (или) загрузки, разгрузки транспортного средства.||3
44|Согласно закону РА "Об обеспечении безопасности дорожного движения", транспортным средством общего пользования считается:|Транспортное средство (трамвай, троллейбус, автобус), имеющее места остановки (остановки), движущееся по маршрутам, перевозящее пассажиров и (или) багаж, а также легковой автомобиль такси.|Транспортное средства (трамвай, троллейбус, автобус), имеющее места остановки (остановки), движущееся по маршрутам, перевозящее пассажиров и (или) багаж.|Транспортное средство, движущееся по туристическому маршруту, перевозящее пассажиров и (или) багаж.||2
45|Согласно закону РА "Об обеспечении безопасности дорожного движения", разрешенной максимальной массой считается:|Максимальная масса снаряженного и заправленного транспортного средства.|Масса нагруженного, снаряженного и заправленного транспортного средства с водителем, пассажирами и грузом, которую предприятие-изготовитель установило в качестве максимально допустимой.|Масса нагруженноготранспортного средства с водителем, пассажирами и грузом, которую предприятие-изготовитель установило в качестве максимально допустимой.||2
46|Согласно закону РА "Об обеспечении безопасности дорожного движения", лицам, имеющим водительское удостоверение на управление транспортных средств категории "В", "С" и "D", и подкатегорий "С1", "D1", разрешается их водить также с прицепами, если разрешенная максимальная масса прицепа:|950 килограмм.|850 килограмм.|750 килограмм.||3
47|Согласно закону РА "Об обеспечении безопасности дорожного движения", пунктом остановки транспортного средства общего пользования считается:|Место на определенном отрезке маршрута транспортного средства общего пользования, предусмотренное для посадки-высадки пассажиров и оборудованное соответствующими дорожными знаками.|Место на определенном отрезке маршрута транспортного средства общего пользования, предусмотренное для посадки-высадки пассажиров.|||1
48|Согласно закону РА "Об обеспечении безопасности дорожного движения", водительское удостоверение на управление транспортных средств категории "D" и подкатегории "D1" может выдаться тем лицам, которые имеют:|Удостоверение на управление транспортных средств категории "В" или "С" или подкатегории "С1" и им исполнилось 21 год.|Удостоверение на управление транспортных средств категории "В" или "С" или подкатегории "В1" и им исполнилось 18 лет.|Удостоверение на управление транспортных средств категории "АВ" или подкатегории "А1В1" и им исполнилось 18 лет.|Удостоверение на управление транспортных средств категории "В" или "С" или подкатегории "С1" и им исполнилось 20 лет.|1
49|Согласно закону РА "Об обеспечении безопасности дорожного движения", международное водительское удостоверение на управление транспортных средств категорий "D", "DE", подкатегорий "D1" и "D1E" может выдаться:|Лицам от 19 лет.|Лицам от 20 лет.|Лицам от 21 года.|Лицам от 22 лет.|3
50|При выезде с грунтовой дороги на асфальтобетонную дорогу:|Мы должны считать ее главной дорогой.|Считаем эту дорогу равнозначной.|||1
51|Сколько полос движения присутствует в данной проезжей части?|Одна|Две|Три||2
52|Разрешается ли двигаться по центру проезжей части в условиях указанной ширины?|Да|Да, если отсутствует встречное движение|Нет||3
53|Какой из указанных недвижимых объектов не является препятствием?|Повреждение покрытия проезжей части|Посторонний предмет|Неисправный или неподвижный автомобиль|Автомобиль, остановившийся из-за пробки|4
54|Являются ли частью дороги тротуар или обочины?|Да|Только обочины|Нет||1
55|Сколько проезжих частей имеет данная дорога?|Одну|Две|Четыре||2
56|Сколько перекрестков есть в данном рисунке?|Один|Два|Четыре||1
57|Сколько пересечений проезжих частей есть в данном рисунке?|Одно|Два|||2
58|Сколько полос движения имеет данная дорога?|Две|Четыре|||2
59|На каком рисунка дорога имеет разделительную полосу?|Только на правом|В обоих случаях|Только на левом||2
60|Уступить дорогу другим транспортным средствам означает:|Водитель не должен продолжать или возобновлять движение или осуществлять какой-либо маневр, если это может вынудить водителей других транспортных средств изменить направление движения или скорость.|Водитель не должен продолжать или возобновлять движение или осуществлять какой-либо маневр, если это может вынудить водителей других транспортных средств внезапно изменить направление движения или скорость.|Безоговорочно остановить транспортное средство.||2
61|В каком рисунке изображен перекресток?|Только на левом|Только на правом|В обоих случаях||1
62|Пересечение скольких проезжих частей есть на перекрестке?|Одной|Двух|Четырех||2
63|Перестроением считается:|Выезд транспортного средства из занимаемой полосы движения, с сохранением первоначального направления движения.|Выезд транспортного средства из занимаемого ряда обозначенной разметкой полосы движения, с сохранением первоначального направления движения.|Оба указанных случая||3
64|Поворотом считается:|Маневр транспортного средства, осуществляемый с целью выезда на другую дорогу.|Маневр транспортного средства, осуществляемый с целью выезда на другую дорогу или прилегающую территорию.|||2
65|Разворотом считается:|Управление транспортным средством по встречному направлению|маневр, осуществляемый с целью изменения направления движения транспортного средства на противоположное|||2
66|Объездом считается:|Обгон одного или нескольких транспортных средств, находящихся в движении, без выезда с занимаемой полосы.|Обгон одного или нескольких транспортных средств, находящихся в движении, в связи с выездом с занимаемой полосы.|||1
67|Началом движения считается:|Момент начала движения транспортного средства с места стоянки или остановки в связи с перестроением на соседнюю полосу движения или без него.|Момент начала движения транспортного средства с места стоянки или остановки в связи с перестроением на соседнюю полосу движения.|||1
68|Маневром считается:|Начало движения транспортного средства (связанное с выездом на соседнюю полосу движения), выполнение перестроения, изменения направления движения, остановки (с перестроением) и разворота.|Начало движения транспортного средства, выполнение перестроения, изменения направления движения, остановки и разворота.|||1
69|Согласно закону РА "Об обеспечении безопасности дорожного движения", грузовым автомобилем считается:|Автомобиль, своей конструкцией и оборудованием предназначенный для перевозки грузов|Автомобиль весом более 3,5 тонн, своей конструкцией и оборудованием предназначенный для перевозки грузов|||1
70|Согласно закону РА "Об обеспечении безопасности дорожного движения", разделительной полосой считается:|конструктивно выделенный элемент дороги, разделяющий смежные проезжие части дороги, не предназначенный для движения и остановки транспортных средств и пешеходов.|элемент дороги, выделенный конструктивно и (или) соответствующей разметкой, разделяющий смежные проезжие части, не предназначенный для движения и остановки транспортных средств и пешеходов.|||2
71|Согласно закону РА "Об обеспечении безопасности дорожного движения", к водителю приравниваются:|погонщик, ведущий по дороге вьючных и (или) верховых животных или скот|погонщик, ведущий вьючных и (или) верховых животных или скот|||1
72|Согласно закону РА "Об обеспечении безопасности дорожного движения", тротуаром считается:|элемент дороги, примыкающий к проезжей части, предназначенный для движения пешехода в установленном законодательством порядке.|элемент дороги, каким-либо образом отделенный от проезжей части, предназначенный для движения пешехода в установленном законодательством порядке.|Оба указанных случая.||3
